species,latitude,longitude
Adenomera cotuba*,-9.4047,-49.9831
Adenomera cotuba*,-12.1308,-49.1742
Adenomera cotuba*,-12.1308,-49.1739
Adenomera cotuba*,-16.6786,-49.2539
Adenomera cotuba*,-13.4983,-48.3484
Adenomera cotuba*,-10.2964,-48.1283
Adenomera cotuba*,-12.5894,-47.8436
Adenomera cotuba*,-12.4474,-45.1653
Adenomera cotuba*,-13.8667,-47.25
Adenomera cotuba*,-14.5333,-49.25
Adenomera saci,-14.0503,-52.3449
Adenomera saci,-11.221,-46.8857
Adenomera saci,-17.25,-53.33
Adenomera saci,-14.1667,-47.7833
Adenomera saci,-14.1622,-47.5233
Adenomera saci,-14.1825,-47.5347
Adenomera saci,-14.805,-50.9367
Adenomera saci,-7.8283,-48.5972
Adenomera saci,-15.7,-52.27
Adenomera saci,-15.63,-48.06
Adenomera saci,-9.3723,-49.843
Adenomera saci,-18.98,-52.17
Adenomera saci,-13.8683,-51.1471
Adenomera saci,-13.9903,-48.0922
Adenomera saci,-17.65,-55.22
Adenomera saci,-16.6,-47.55
Adenomera saci,-11.88,-49.63
Adenomera saci,-8.7385,-48.4411
Adenomera saci,-8.6077,-48.3038
Adenomera saci,-8.6194,-48.3297
Adenomera saci,-8.6169,-48.3202
Adenomera saci,-11.1356,-48.4038
Adenomera saci,-11.0356,-50.16
Adenomera saci,-10.88,-49.74
Adenomera saci,-10.7022,-46.7728
Adenomera saci,-13.4983,-48.3484
Adenomera saci,-17.6134,-52.7643
Adenomera saci,-12.3156,-50.8885
Adenomera saci,-10.1891,-48.1085
Adenomera saci,-10.2181,-48.1532
Adenomera saci,-10.5485,-48.484
Adenomera saci,-10.3319,-50.792
Adenomera saci,-12.2605,-48.4105
Adenomera saci,-12.288,-48.4155
Adenomera saci,-13.9497,-51.9184
Adenomera saci,-14.15,-48.39
Adenomera saci,-6.7911,-45.4736
Adenomera saci,-18.22,-52.84
Adenomera saci,-10.45,-48.4
Adenomera saci,-10.1166,-48.4166
Adenomera saci,-10.0833,-48.45
Adenomera saci,-14.2,-46.31
Adenomera saci,-12.8,-51.68
Akodon kadiweu,-20.7,-56.8667
Akodon lindberghi,-21.5833,-44.5667
Akodon lindberghi,-22.2943,-43.9326
Akodon lindberghi,-21.6833,-43.45
Akodon lindberghi,-20.35,-46.4833
Akodon lindberghi,-15.6667,-48
Akodon lindberghi,-21.7833,-46.5667
Akodon lindberghi,-21.9636,-43.3119
Akodon lindberghi,-22.4171,-43.0225
Alectrurus tricolor,-16.3333,-48.9667
Alectrurus tricolor,-22.8833,-49.25
Alectrurus tricolor,-14.1335,-47.5104
Alectrurus tricolor,-15.5333,-48.0667
Alectrurus tricolor,-20.4715,-55.7875
Alectrurus tricolor,-21.95,-45.8833
Alectrurus tricolor,-21.9475,-44.1914
Alectrurus tricolor,-21.1215,-56.4825
Alectrurus tricolor,-15.7805,-47.9304
Alectrurus tricolor,-23.7167,-48.5167
Alectrurus tricolor,-15.4167,-55.8
Alectrurus tricolor,-18.4085,-52.5494
Alectrurus tricolor,-23.8833,-48.7667
Alectrurus tricolor,-18.5445,-53.1295
Alectrurus tricolor,-22.6,-46.4833
Alectrurus tricolor,-19.5,-50.5
Alectrurus tricolor,-15.5333,-47.6167
Alectrurus tricolor,-22.8,-49.2167
Alectrurus tricolor,-22.6,-46.95
Alectrurus tricolor,-15.7833,-47.9167
Alectrurus tricolor,-15.95,-47.9333
Alectrurus tricolor,-21.4667,-54.9667
Alectrurus tricolor,-23.6333,-47.9667
Alectrurus tricolor,-21.2833,-54.8167
Alectrurus tricolor,-21.5333,-54.9833
Alectrurus tricolor,-19.4333,-48
Alectrurus tricolor,-21.7167,-44
Alectrurus tricolor,-19.5,-56.2167
Alectrurus tricolor,-22.1667,-47.9167
Alectrurus tricolor,-15.8333,-46.5
Alectrurus tricolor,-20.5333,-47.4
Alectrurus tricolor,-20.4625,-47.1224
Alectrurus tricolor,-24.05,-54.2
Alectrurus tricolor,-19.0395,-47.9174
Alectrurus tricolor,-23.4333,-47.6
Alectrurus tricolor,-23.5333,-46.6167
Alectrurus tricolor,-24.1167,-49.3333
Alectrurus tricolor,-23.1,-48.6167
Alectrurus tricolor,-22.2535,-47.8234
Alectrurus tricolor,-24.25,-49.7
Alectrurus tricolor,-19.6333,-43.8833
Alectrurus tricolor,-19.8333,-47.95
Alectrurus tricolor,-19.9965,-46.2264
Alectrurus tricolor,-17.5695,-52.5514
Alectrurus tricolor,-20.2333,-56.3667
Alectrurus tricolor,-22.4333,-46.9667
Alectrurus tricolor,-19.9667,-43.85
Alectrurus tricolor,-16.9167,-50.7833
Alectrurus tricolor,-19.7167,-44.8
Alectrurus tricolor,-12.6167,-47.8667
Alectrurus tricolor,-14.1167,-47.5167
Alectrurus tricolor,-18,-52.75
Alectrurus tricolor,-15.7167,-47.95
Alectrurus tricolor,-23.6667,-54
Alectrurus tricolor,-18.9445,-46.9934
Alectrurus tricolor,-22.35,-48.7667
Alectrurus tricolor,-22.7167,-47.6167
Alectrurus tricolor,-15.6167,-47.6667
Alectrurus tricolor,-15.9333,-47.8833
Alectrurus tricolor,-18.8,-47.8833
Alectrurus tricolor,-22.25,-47.8667
Alectrurus tricolor,-19.8655,-47.4404
Alectrurus tricolor,-16.3667,-45.0667
Alectrurus tricolor,-20.2455,-46.3664
Alectrurus tricolor,-20.25,-46.6167
Alectrurus tricolor,-19.45,-44.2333
Alectrurus tricolor,-15.8167,-48.05
Alectrurus tricolor,-20.4425,-54.8605
Alectrurus tricolor,-19.75,-47.9167
Alectrurus tricolor,-19.7485,-47.9324
Alectrurus tricolor,-16.2,-47.2833
Alectrurus tricolor,-19.2,-43.95
Alectrurus tricolor,-22.7833,-48.4
Alectrurus tricolor,-13.7667,-68.05
Alectrurus tricolor,-23.35,-55.9167
Alectrurus tricolor,-26.4167,-55.6667
Alectrurus tricolor,-22.6667,-57.35
Alectrurus tricolor,-22.5,-57
Alectrurus tricolor,-28,-58.0833
Alectrurus tricolor,-27.4667,-58.8333
Alectrurus tricolor,-14.8833,-66.85
Alectrurus tricolor,-14.75,-66.5
Alectrurus tricolor,-14.8667,-66.3167
Alectrurus tricolor,-15.1667,-65.5
Alectrurus tricolor,-24.45,-56.9833
Alectrurus tricolor,-23.8167,-56.3
Alectrurus tricolor,-23.9,-56.5667
Alectrurus tricolor,-17.5833,-61.7667
Alipiopsitta xanthops,-14.5333,-47.4333
Alipiopsitta xanthops,-16.2045,-48.7074
Alipiopsitta xanthops,-9.6215,-49.1514
Alipiopsitta xanthops,-20.4485,-52.8784
Alipiopsitta xanthops,-14.9865,-47.7844
Alipiopsitta xanthops,-16.0825,-48.5074
Alipiopsitta xanthops,-17.3155,-53.2155
Alipiopsitta xanthops,-14.1335,-47.5104
Alipiopsitta xanthops,-9.1115,-45.9304
Alipiopsitta xanthops,-20.3215,-49.9114
Alipiopsitta xanthops,-16.3275,-48.9534
Alipiopsitta xanthops,-22.1535,-53.7715
Alipiopsitta xanthops,-15.5333,-48.0667
Alipiopsitta xanthops,-20.0875,-51.0944
Alipiopsitta xanthops,-18.9655,-51.9264
Alipiopsitta xanthops,-20.4715,-55.7875
Alipiopsitta xanthops,-15.7345,-51.8314
Alipiopsitta xanthops,-19.5935,-46.9414
Alipiopsitta xanthops,-15.9167,-46.0667
Alipiopsitta xanthops,-14.9205,-51.0834
Alipiopsitta xanthops,-16.2795,-55.9585
Alipiopsitta xanthops,-15.8905,-52.2574
Alipiopsitta xanthops,-7.6895,-47.6834
Alipiopsitta xanthops,-20.5575,-48.5684
Alipiopsitta xanthops,-21.7145,-52.4225
Alipiopsitta xanthops,-22.2955,-53.2715
Alipiopsitta xanthops,-22.1095,-56.5215
Alipiopsitta xanthops,-19.7167,-45.25
Alipiopsitta xanthops,-16.5675,-45.9904
Alipiopsitta xanthops,-21.1,-56.5167
Alipiopsitta xanthops,-20.9667,-56.5
Alipiopsitta xanthops,-21.1215,-56.4825
Alipiopsitta xanthops,-21.2565,-52.0374
Alipiopsitta xanthops,-17.0105,-46.0094
Alipiopsitta xanthops,-15.7805,-47.9304
Alipiopsitta xanthops,-15.2415,-51.1614
Alipiopsitta xanthops,-15.6333,-46.4167
Alipiopsitta xanthops,-17.3515,-44.9624
Alipiopsitta xanthops,-14.3333,-55.9333
Alipiopsitta xanthops,-17.7445,-48.6264
Alipiopsitta xanthops,-14.3145,-49.1524
Alipiopsitta xanthops,-17.6395,-47.7824
Alipiopsitta xanthops,-20.4435,-54.6465
Alipiopsitta xanthops,-19.0015,-46.3164
Alipiopsitta xanthops,-18.5765,-47.8774
Alipiopsitta xanthops,-9.2667,-49.7833
Alipiopsitta xanthops,-20.5835,-46.9224
Alipiopsitta xanthops,-18.1705,-47.9424
Alipiopsitta xanthops,-13.7985,-47.4584
Alipiopsitta xanthops,-12.6,-48.1
Alipiopsitta xanthops,-12.1833,-46.8
Alipiopsitta xanthops,-15.4615,-55.7505
Alipiopsitta xanthops,-14.1167,-47.5167
Alipiopsitta xanthops,-15.3065,-45.6184
Alipiopsitta xanthops,-18.4085,-52.5494
Alipiopsitta xanthops,-14.3975,-50.9964
Alipiopsitta xanthops,-14.3833,-51
Alipiopsitta xanthops,-15.7945,-48.7764
Alipiopsitta xanthops,-14.1845,-44.5344
Alipiopsitta xanthops,-19.8325,-54.8295
Alipiopsitta xanthops,-18.4667,-47.2167
Alipiopsitta xanthops,-18.4735,-47.2004
Alipiopsitta xanthops,-19.8245,-45.9044
Alipiopsitta xanthops,-14.5,-49.1667
Alipiopsitta xanthops,-17.3833,-44.8
Alipiopsitta xanthops,-14.4167,-56.05
Alipiopsitta xanthops,-19.0095,-57.6535
Alipiopsitta xanthops,-18.5445,-53.1295
Alipiopsitta xanthops,-18.5,-54.75
Alipiopsitta xanthops,-18.5075,-54.7605
Alipiopsitta xanthops,-18.2167,-54.6667
Alipiopsitta xanthops,-16.7695,-47.6144
Alipiopsitta xanthops,-15.5833,-56.0833
Alipiopsitta xanthops,-18.7565,-44.4314
Alipiopsitta xanthops,-18.1535,-47.5624
Alipiopsitta xanthops,-20.3445,-46.8544
Alipiopsitta xanthops,-11.7,-46.7333
Alipiopsitta xanthops,-9.8005,-49.2144
Alipiopsitta xanthops,-16.6525,-46.2714
Alipiopsitta xanthops,-18.4315,-47.6094
Alipiopsitta xanthops,-22.2215,-54.8065
Alipiopsitta xanthops,-19.2,-47.1333
