Species,Latitude,Longitude,alt
Adenomera cotuba*,-9.4047,-49.9831,161
Adenomera cotuba*,-12.1308,-49.1742,387
Adenomera cotuba*,-12.1308,-49.1739,387
Adenomera cotuba*,-16.6786,-49.2539,790
Adenomera cotuba*,-13.4983,-48.3484,465
Adenomera cotuba*,-10.2964,-48.1283,444
Adenomera cotuba*,-12.5894,-47.8436,277
Adenomera cotuba*,-12.4474,-45.1653,648
Adenomera cotuba*,-13.8667,-47.25,902
Adenomera cotuba*,-14.5333,-49.25,610
Adenomera saci,-14.0503,-52.3449,468
Adenomera saci,-11.221,-46.8857,629
Adenomera saci,-17.25,-53.33,657
Adenomera saci,-14.1667,-47.7833,746
Adenomera saci,-14.1622,-47.5233,1110
Adenomera saci,-14.1825,-47.5347,1018
Adenomera saci,-14.805,-50.9367,277
Adenomera saci,-7.8283,-48.5972,296
Adenomera saci,-15.7,-52.27,457
Adenomera saci,-15.63,-48.06,1219
Adenomera saci,-9.3723,-49.843,209
Adenomera saci,-18.98,-52.17,584
Adenomera saci,-13.8683,-51.1471,292
Adenomera saci,-13.9903,-48.0922,611
Adenomera saci,-17.65,-55.22,217
Adenomera saci,-16.6,-47.55,916
Adenomera saci,-11.88,-49.63,280
Adenomera saci,-8.7385,-48.4411,305
Adenomera saci,-8.6077,-48.3038,209
Adenomera saci,-8.6194,-48.3297,223
Adenomera saci,-8.6169,-48.3202,220
Adenomera saci,-11.1356,-48.4038,289
Adenomera saci,-11.0356,-50.16,201
Adenomera saci,-10.88,-49.74,227
Adenomera saci,-10.7022,-46.7728,457
Adenomera saci,-13.4983,-48.3484,465
Adenomera saci,-17.6134,-52.7643,824
Adenomera saci,-12.3156,-50.8885,208
Adenomera saci,-10.1891,-48.1085,539
Adenomera saci,-10.2181,-48.1532,461
Adenomera saci,-10.5485,-48.484,199
Adenomera saci,-10.3319,-50.792,229
Adenomera saci,-12.2605,-48.4105,259
Adenomera saci,-12.288,-48.4155,263
Adenomera saci,-13.9497,-51.9184,457
Adenomera saci,-14.15,-48.39,487
Adenomera saci,-6.7911,-45.4736,391
Adenomera saci,-18.22,-52.84,779
Adenomera saci,-10.45,-48.4,216
Adenomera saci,-10.1166,-48.4166,166
Adenomera saci,-10.0833,-48.45,185
Adenomera saci,-14.2,-46.31,787
Adenomera saci,-12.8,-51.68,310
Akodon kadiweu,-20.7,-56.8667,580
Akodon lindberghi,-21.5833,-44.5667,1358
Akodon lindberghi,-22.2943,-43.9326,599
Akodon lindberghi,-21.6833,-43.45,716
Akodon lindberghi,-20.35,-46.4833,912
Akodon lindberghi,-15.6667,-48,1136
Akodon lindberghi,-21.7833,-46.5667,1561
Akodon lindberghi,-21.9636,-43.3119,610
Akodon lindberghi,-22.4171,-43.0225,1457
Alectrurus tricolor,-16.3333,-48.9667,916
Alectrurus tricolor,-22.8833,-49.25,599
Alectrurus tricolor,-14.1335,-47.5104,1156
Alectrurus tricolor,-15.5333,-48.0667,1095
Alectrurus tricolor,-20.4715,-55.7875,177
Alectrurus tricolor,-21.95,-45.8833,915
Alectrurus tricolor,-21.9475,-44.1914,1150
Alectrurus tricolor,-21.1215,-56.4825,300
Alectrurus tricolor,-15.7805,-47.9304,1092
Alectrurus tricolor,-23.7167,-48.5167,624
Alectrurus tricolor,-15.4167,-55.8,757
Alectrurus tricolor,-18.4085,-52.5494,688
Alectrurus tricolor,-23.8833,-48.7667,690
Alectrurus tricolor,-18.5445,-53.1295,613
Alectrurus tricolor,-22.6,-46.4833,950
Alectrurus tricolor,-19.5,-50.5,510
Alectrurus tricolor,-15.5333,-47.6167,1049
Alectrurus tricolor,-22.8,-49.2167,615
Alectrurus tricolor,-22.6,-46.95,679
Alectrurus tricolor,-15.7833,-47.9167,1087
Alectrurus tricolor,-15.95,-47.9333,1112
Alectrurus tricolor,-21.4667,-54.9667,382
Alectrurus tricolor,-23.6333,-47.9667,688
Alectrurus tricolor,-21.2833,-54.8167,327
Alectrurus tricolor,-21.5333,-54.9833,364
Alectrurus tricolor,-19.4333,-48,906
Alectrurus tricolor,-21.7167,-44,1200
Alectrurus tricolor,-19.5,-56.2167,89
Alectrurus tricolor,-22.1667,-47.9167,851
Alectrurus tricolor,-15.8333,-46.5,702
Alectrurus tricolor,-20.5333,-47.4,921
Alectrurus tricolor,-20.4625,-47.1224,1100
Alectrurus tricolor,-24.05,-54.2,220
Alectrurus tricolor,-19.0395,-47.9174,819
Alectrurus tricolor,-23.4333,-47.6,596
Alectrurus tricolor,-23.5333,-46.6167,636
Alectrurus tricolor,-24.1167,-49.3333,769
Alectrurus tricolor,-23.1,-48.6167,814
Alectrurus tricolor,-22.2535,-47.8234,898
Alectrurus tricolor,-24.25,-49.7,786
Alectrurus tricolor,-19.6333,-43.8833,940
Alectrurus tricolor,-19.8333,-47.95,668
Alectrurus tricolor,-19.9965,-46.2264,914
Alectrurus tricolor,-17.5695,-52.5514,674
Alectrurus tricolor,-20.2333,-56.3667,157
Alectrurus tricolor,-22.4333,-46.9667,669
Alectrurus tricolor,-19.9667,-43.85,858
Alectrurus tricolor,-16.9167,-50.7833,607
Alectrurus tricolor,-19.7167,-44.8,787
Alectrurus tricolor,-12.6167,-47.8667,279
Alectrurus tricolor,-14.1167,-47.5167,1123
Alectrurus tricolor,-18,-52.75,742
Alectrurus tricolor,-15.7167,-47.95,1077
Alectrurus tricolor,-23.6667,-54,221
Alectrurus tricolor,-18.9445,-46.9934,1003
Alectrurus tricolor,-22.35,-48.7667,474
Alectrurus tricolor,-22.7167,-47.6167,554
Alectrurus tricolor,-15.6167,-47.6667,1027
Alectrurus tricolor,-15.9333,-47.8833,1099
Alectrurus tricolor,-18.8,-47.8833,935
Alectrurus tricolor,-22.25,-47.8667,915
Alectrurus tricolor,-19.8655,-47.4404,893
Alectrurus tricolor,-16.3667,-45.0667,494
Alectrurus tricolor,-20.2455,-46.3664,901
Alectrurus tricolor,-20.25,-46.6167,929
Alectrurus tricolor,-19.45,-44.2333,887
Alectrurus tricolor,-15.8167,-48.05,1211
Alectrurus tricolor,-20.4425,-54.8605,466
Alectrurus tricolor,-19.75,-47.9167,752
Alectrurus tricolor,-19.7485,-47.9324,750
Alectrurus tricolor,-16.2,-47.2833,879
Alectrurus tricolor,-19.2,-43.95,785
Alectrurus tricolor,-22.7833,-48.4,542
Alectrurus tricolor,-13.7667,-68.05,336
Alectrurus tricolor,-23.35,-55.9167,287
Alectrurus tricolor,-26.4167,-55.6667,195
Alectrurus tricolor,-22.6667,-57.35,200
Alectrurus tricolor,-22.5,-57,247
Alectrurus tricolor,-28,-58.0833,56
Alectrurus tricolor,-27.4667,-58.8333,52
Alectrurus tricolor,-14.8833,-66.85,272
Alectrurus tricolor,-14.75,-66.5,219
Alectrurus tricolor,-14.8667,-66.3167,229
Alectrurus tricolor,-15.1667,-65.5,252
Alectrurus tricolor,-24.45,-56.9833,119
Alectrurus tricolor,-23.8167,-56.3,212
Alectrurus tricolor,-23.9,-56.5667,95
Alectrurus tricolor,-17.5833,-61.7667,270
Alipiopsitta xanthops,-14.5333,-47.4333,1009
Alipiopsitta xanthops,-16.2045,-48.7074,920
Alipiopsitta xanthops,-9.6215,-49.1514,255
Alipiopsitta xanthops,-20.4485,-52.8784,305
Alipiopsitta xanthops,-14.9865,-47.7844,1140
Alipiopsitta xanthops,-16.0825,-48.5074,933
Alipiopsitta xanthops,-17.3155,-53.2155,629
Alipiopsitta xanthops,-14.1335,-47.5104,1156
Alipiopsitta xanthops,-9.1115,-45.9304,277
Alipiopsitta xanthops,-20.3215,-49.9114,458
Alipiopsitta xanthops,-16.3275,-48.9534,917
Alipiopsitta xanthops,-22.1535,-53.7715,305
Alipiopsitta xanthops,-15.5333,-48.0667,1095
Alipiopsitta xanthops,-20.0875,-51.0944,340
Alipiopsitta xanthops,-18.9655,-51.9264,552
Alipiopsitta xanthops,-20.4715,-55.7875,177
Alipiopsitta xanthops,-15.7345,-51.8314,283
Alipiopsitta xanthops,-19.5935,-46.9414,1049
Alipiopsitta xanthops,-15.9167,-46.0667,518
Alipiopsitta xanthops,-14.9205,-51.0834,215
Alipiopsitta xanthops,-16.2795,-55.9585,140
Alipiopsitta xanthops,-15.8905,-52.2574,288
Alipiopsitta xanthops,-7.6895,-47.6834,94
Alipiopsitta xanthops,-20.5575,-48.5684,617
Alipiopsitta xanthops,-21.7145,-52.4225,307
Alipiopsitta xanthops,-22.2955,-53.2715,307
Alipiopsitta xanthops,-22.1095,-56.5215,178
Alipiopsitta xanthops,-19.7167,-45.25,726
Alipiopsitta xanthops,-16.5675,-45.9904,647
Alipiopsitta xanthops,-21.1,-56.5167,413
Alipiopsitta xanthops,-20.9667,-56.5,339
Alipiopsitta xanthops,-21.1215,-56.4825,300
Alipiopsitta xanthops,-21.2565,-52.0374,306
Alipiopsitta xanthops,-17.0105,-46.0094,583
Alipiopsitta xanthops,-15.7805,-47.9304,1092
Alipiopsitta xanthops,-15.2415,-51.1614,283
Alipiopsitta xanthops,-15.6333,-46.4167,599
Alipiopsitta xanthops,-17.3515,-44.9624,519
Alipiopsitta xanthops,-14.3333,-55.9333,490
Alipiopsitta xanthops,-17.7445,-48.6264,706
Alipiopsitta xanthops,-14.3145,-49.1524,758
Alipiopsitta xanthops,-17.6395,-47.7824,914
Alipiopsitta xanthops,-20.4435,-54.6465,602
Alipiopsitta xanthops,-19.0015,-46.3164,999
Alipiopsitta xanthops,-18.5765,-47.8774,687
Alipiopsitta xanthops,-9.2667,-49.7833,182
Alipiopsitta xanthops,-20.5835,-46.9224,805
Alipiopsitta xanthops,-18.1705,-47.9424,876
Alipiopsitta xanthops,-13.7985,-47.4584,901
Alipiopsitta xanthops,-12.6,-48.1,304
Alipiopsitta xanthops,-12.1833,-46.8,498
Alipiopsitta xanthops,-15.4615,-55.7505,740
Alipiopsitta xanthops,-14.1167,-47.5167,1123
Alipiopsitta xanthops,-15.3065,-45.6184,821
Alipiopsitta xanthops,-18.4085,-52.5494,688
Alipiopsitta xanthops,-14.3975,-50.9964,243
Alipiopsitta xanthops,-14.3833,-51,243
Alipiopsitta xanthops,-15.7945,-48.7764,1037
Alipiopsitta xanthops,-14.1845,-44.5344,576
Alipiopsitta xanthops,-19.8325,-54.8295,277
Alipiopsitta xanthops,-18.4667,-47.2167,918
Alipiopsitta xanthops,-18.4735,-47.2004,917
Alipiopsitta xanthops,-19.8245,-45.9044,877
Alipiopsitta xanthops,-14.5,-49.1667,560
Alipiopsitta xanthops,-17.3833,-44.8,521
Alipiopsitta xanthops,-14.4167,-56.05,445
Alipiopsitta xanthops,-19.0095,-57.6535,92
Alipiopsitta xanthops,-18.5445,-53.1295,613
Alipiopsitta xanthops,-18.5,-54.75,285
Alipiopsitta xanthops,-18.5075,-54.7605,246
Alipiopsitta xanthops,-18.2167,-54.6667,365
Alipiopsitta xanthops,-16.7695,-47.6144,1210
Alipiopsitta xanthops,-15.5833,-56.0833,198
Alipiopsitta xanthops,-18.7565,-44.4314,613
Alipiopsitta xanthops,-18.1535,-47.5624,659
Alipiopsitta xanthops,-20.3445,-46.8544,706
Alipiopsitta xanthops,-11.7,-46.7333,544
Alipiopsitta xanthops,-9.8005,-49.2144,306
Alipiopsitta xanthops,-16.6525,-46.2714,617
Alipiopsitta xanthops,-18.4315,-47.6094,636
Alipiopsitta xanthops,-22.2215,-54.8065,359
Alipiopsitta xanthops,-19.2,-47.1333,843
Alipiopsitta xanthops,-15.5333,-47.6167,1049
Alipiopsitta xanthops,-15.7833,-47.9167,1087
Alipiopsitta xanthops,-6.55,-47.4333,150
Alipiopsitta xanthops,-15.95,-47.9333,1112
Alipiopsitta xanthops,-15.9833,-55.9167,121
Alipiopsitta xanthops,-17.0667,-45.9,557
Alipiopsitta xanthops,-21.45,-56.4333,286
Alipiopsitta xanthops,-21.1,-56.2167,193
Alipiopsitta xanthops,-16.25,-57.55,308
Alipiopsitta xanthops,-18.4667,-57.3667,79
Alipiopsitta xanthops,-18.9833,-56.65,96
