cod_areas,xcoord,ycoord,1
BE 1,-46.9437713621586,-20.0323257448372,1017
BE 1,-45.9437713621586,-16.0323257448372,513
BE 1,-45.9437713621586,-20.0323257448372,847
BE 1,-44.9437713621586,-17.0323257448372,621
BE 1,-44.9437713621586,-18.0323257448372,703
BE 1,-44.9437713621586,-19.0323257448372,651
BE 1,-44.9437713621586,-21.0323257448372,919
BE 1,-44.9437713621586,-22.0323257448372,979
BE 1,-43.9437713621586,-16.0323257448372,632
BE 1,-43.9437713621586,-17.0323257448372,910
BE 1,-43.9437713621586,-18.0323257448372,1217
BE 1,-43.9437713621586,-19.0323257448372,696
BE 1,-43.9437713621586,-20.0323257448372,1088
BE 1,-43.9437713621586,-21.0323257448372,1013
BE 1,-43.9437713621586,-22.0323257448372,1224
BE 1,-42.9437713621586,-15.0323257448372,610
BE 1,-42.9437713621586,-16.0323257448372,924
BE 1,-42.9437713621586,-17.0323257448372,599
BE 1,-42.9437713621586,-18.0323257448372,1088
BE 1,-42.9437713621586,-19.0323257448372,597
BE 1,-42.9437713621586,-20.0323257448372,907
BE 1,-41.9437713621586,-15.0323257448372,769
BE 1,-41.9437713621586,-16.0323257448372,914
BE 1,-41.9437713621586,-17.0323257448372,612
BE 2,-61.9437713621586,-14.0323257448372,198
BE 2,-60.9437713621586,-14.0323257448372,243
BE 2,-60.9437713621586,-15.0323257448372,219
BE 2,-59.9437713621586,-12.0323257448372,399
BE 2,-59.9437713621586,-13.0323257448372,599
BE 2,-59.9437713621586,-14.0323257448372,272
BE 2,-59.9437713621586,-15.0323257448372,193
BE 2,-58.9437713621586,-13.0323257448372,400
BE 2,-58.9437713621586,-15.0323257448372,562
BE 2,-58.9437713621586,-16.0323257448372,270
BE 2,-57.9437713621586,-12.0323257448372,317
BE 2,-57.9437713621586,-13.0323257448372,401
BE 2,-57.9437713621586,-14.0323257448372,615
BE 2,-57.9437713621586,-15.0323257448372,200
BE 2,-57.9437713621586,-16.0323257448372,172
BE 2,-57.9437713621586,-17.0323257448372,154
BE 2,-57.9437713621586,-21.0323257448372,63
BE 2,-57.9437713621586,-22.0323257448372,123
BE 2,-57.9437713621586,-23.0323257448372,60
BE 2,-56.9437713621586,-13.0323257448372,399
BE 2,-56.9437713621586,-14.0323257448372,408
BE 2,-56.9437713621586,-15.0323257448372,190
BE 2,-56.9437713621586,-16.0323257448372,166
BE 2,-56.9437713621586,-20.0323257448372,303
BE 2,-56.9437713621586,-21.0323257448372,205
BE 2,-56.9437713621586,-22.0323257448372,281
BE 2,-56.9437713621586,-23.0323257448372,144
BE 2,-55.9437713621586,-12.0323257448372,300
BE 2,-55.9437713621586,-13.0323257448372,405
BE 2,-55.9437713621586,-14.0323257448372,413
BE 2,-55.9437713621586,-15.0323257448372,314
BE 2,-55.9437713621586,-16.0323257448372,107
BE 2,-55.9437713621586,-17.0323257448372,139
BE 2,-55.9437713621586,-20.0323257448372,174
BE 2,-55.9437713621586,-21.0323257448372,182
BE 2,-55.9437713621586,-22.0323257448372,586
BE 2,-55.9437713621586,-23.0323257448372,315
BE 2,-55.9437713621586,-24.0323257448372,147
BE 2,-54.9437713621586,-13.0323257448372,406
BE 2,-54.9437713621586,-15.0323257448372,719
BE 2,-54.9437713621586,-16.0323257448372,365
BE 2,-54.9437713621586,-18.0323257448372,219
BE 2,-54.9437713621586,-19.0323257448372,461
BE 2,-54.9437713621586,-20.0323257448372,277
BE 2,-54.9437713621586,-21.0323257448372,418
BE 2,-54.9437713621586,-22.0323257448372,361
BE 2,-54.9437713621586,-23.0323257448372,323
BE 2,-54.9437713621586,-24.0323257448372,379
BE 2,-53.9437713621586,-13.0323257448372,303
BE 2,-53.9437713621586,-14.0323257448372,618
BE 2,-53.9437713621586,-15.0323257448372,647
BE 2,-53.9437713621586,-16.0323257448372,406
BE 2,-53.9437713621586,-17.0323257448372,615
BE 2,-53.9437713621586,-18.0323257448372,313
BE 2,-53.9437713621586,-19.0323257448372,424
BE 2,-53.9437713621586,-20.0323257448372,459
