cod_areas,xcoord,ycoord,elevation1
BE 4,-50.1468963621586,-18.6807632448372,487
BE 7,-45.9437713621586,-14.0323257448372,862
BE 6,-55.6104380288253,-15.0323257448372,302
BE 1,-43.9437713621586,-18.3239924115038,1211
BE 3,-47.87234279073,-16.1751828876943,900
BE 2,-49.965605423294,-15.7441161378503,607
BE 29,-49.4247840203866,-14.2728320739511,637
BE 28,-49.9993269177141,-11.5878813003927,208
BE 25,-58.9437713621586,-13.3656590781705,520
BE 18,-46.4437713621586,-11.0323257448372,882
BE 24,-49.9437713621586,-24.5323257448372,1135
BE 17,-47.2771046954919,-10.0323257448372,266
BE 27,-59.1437713621586,-13.9323257448372,658
BE 26,-49.0254040152198,-11.7466114591229,318
BE 19,-56.3437713621586,-21.8323257448372,280
BE 21,-46.8528622712495,-18.7595984721099,918
BE 14,-49.5659935843808,-20.8545479670594,460
BE 20,-47.4437713621586,-8.03232574483718,307
BE 13,-48.0282784044122,-18.412607434978,609
BE 23,-56.2771046954919,-19.1275638400753,96
BE 16,-45.4892259076131,-13.7595984721099,713
BE 22,-48.388215806603,-14.4323257448372,592
BE 15,-50.388215806603,-12.1989924115038,203
BE 10,-56.7437713621586,-15.6323257448372,286
BE 12,-52.7771046954919,-16.8656590781705,500
BE 11,-60.1937713621586,-14.7823257448372,442
BE 9,-48.2967125386292,-15.6793845683666,1068
BE 8,-46.2771046954919,-20.3656590781705,857
BE 5,-47.9437713621586,-14.0323257448372,568
