cod_areas,xcoord,ycoord,elevation1
BE 1,-43.9437713621586,-19.0323257448372,696
BE 3,-47.9437713621586,-16.0323257448372,1045
BE 5,-47.9437713621586,-14.0323257448372,568
BE 6,-55.9437713621586,-15.0323257448372,314
BE 7,-45.9437713621586,-14.0323257448372,862
BE 8,-46.9437713621586,-20.0323257448372,1017
BE 9,-48.9437713621586,-16.0323257448372,917
BE 10,-56.9437713621586,-16.0323257448372,166
BE 11,-60.9437713621586,-15.0323257448372,219
BE 12,-52.9437713621586,-18.0323257448372,838
BE 16,-45.9437713621586,-15.0323257448372,830
BE 17,-47.9437713621586,-10.0323257448372,246
BE 18,-46.9437713621586,-11.0323257448372,540
BE 19,-56.9437713621586,-21.0323257448372,205
BE 20,-47.9437713621586,-7.03232574483718,264
BE 21,-46.9437713621586,-19.0323257448372,919
BE 24,-49.9437713621586,-24.0323257448372,622
BE 25,-59.9437713621586,-13.0323257448372,599
BE 27,-58.9437713621586,-15.0323257448372,562
