species,voucher,series,locality,municipality,state,country,latitude,longitude,elevation
Adenomera cotuba*,ZUFMS-AMP 12575,~12596,,Caseara,TO,Brazil,-9.4047,-49.9831,161
Adenomera cotuba*,CHUNB 62864,,,Figueiropolis,TO,Brazil,-12.1308,-49.1742,387
Adenomera cotuba*,,,,Figueiropolis,TO,Brazil,-12.1308,-49.1739,387
Adenomera cotuba*,CHUNB 56517,,,Goiania,GO,Brazil,-16.6786,-49.2539,790
Adenomera cotuba*,AAG-UFU 5052,,,Minaçu,GO,Brazil,-13.4983,-48.3484,465
Adenomera cotuba*,AAG-UFU 2643,,,Palmas,TO,Brazil,-10.2964,-48.1283,444
Adenomera cotuba*,AAG-UFU 2823,,,Paranã,TO,Brazil,-12.5894,-47.8436,277
Adenomera cotuba*,ZUFG 11092,,Power Plant Sítio Grande,São Desidério ,BA,Brazil,-12.4474,-45.1653,648
Adenomera cotuba*,AAG-UFU 1400,holotype,Chapada dos Veadeiros,Teresina de Goiás,GO,Brazil,-13.8667,-47.25,902
Adenomera cotuba*,AAG-UFU 0808,,Chapada dos Veadeiros,Teresina de Goiás,GO,Brazil,-13.8667,-47.25,902
Adenomera cotuba*,Sound,,,Uruacu,GO,Brazil,-14.5333,-49.25,610
Adenomera saci,PHV 2553,,Mata alagada,Agua Boa,MT,Brazil,-14.0503,-52.3449,468
Adenomera saci,MTR14753,,EESGT (Estacao Ecologica Serra Geral do Tocantins),Almas,TO,Brazil,-11.221,-46.8857,629
Adenomera saci,,,,Alto Araguaia,MT,Brazil,-17.25,-53.33,657
Adenomera saci,AAG-UFU 1339,holotype,PN Chapada dos Veadeiros,Alto Paraiso de Goias,GO,Brazil,-14.1667,-47.7833,746
Adenomera saci,CHUNB 49506,,"Canion I, PN Chapada dos Veadeiros",Alto Paraiso de Goias,GO,Brazil,-14.1622,-47.5233,1110
Adenomera saci,MZUSP 84799,,Chapada dos Veadeiros,Alto Paraiso de Goias,GO,Brazil,-14.1825,-47.5347,1018
Adenomera saci,MZUSP 7752,, ,Aruana,GO,Brazil,-14.805,-50.9367,277
Adenomera saci,Lit 2610,,Cerrado em solo de areia quartzosa,Bandeirantes do Tocantins,TO,Brazil,-7.8283,-48.5972,296
Adenomera saci,PHV 2695,,campo ?mido prox. a vereda dos Osteocephalus,Barra do Garcas,MT,Brazil,-15.7,-52.27,457
Adenomera saci,,,Pq Nac de Brasilia - Torto,Brasilia,DF,Brazil,-15.63,-48.06,1219
Adenomera saci,CHUNB 45600,,Parque Estadual do Cantao,Caseara,TO,Brazil,-9.3723,-49.843,209
Adenomera saci,,,,Cassilândia,MS,Brazil,-18.98,-52.17,584
Adenomera saci,MZUSP 727,,Sao Domingos - Rio das Mortes - MT,Cocalinho,MT,Brazil,-13.8683,-51.1471,292
Adenomera saci,CHUNB 44706,,LT Serra da Mesa,Colinas do Sul,GO,Brazil,-13.9903,-48.0922,611
Adenomera saci,,,,Corumbá,MG,Brazil,-17.65,-55.22,217
Adenomera saci,,,Capão Grande,Cristalina,GO,Brazil,-16.6,-47.55,916
Adenomera saci,,,,Formoso do Araguaia,TO,Brazil,-11.88,-49.63,280
Adenomera saci,MZUSP 127163,, ,Guarai,TO,Brazil,-8.7385,-48.4411,305
Adenomera saci,Lit 2607,,Campo umido,Guarai,TO,Brazil,-8.6077,-48.3038,209
Adenomera saci,Lit 2605,,Cerrado em solo de areia quartzosa,Guarai,TO,Brazil,-8.6194,-48.3297,223
Adenomera saci,Lit 2606,,Cerrado em solo de areia quartzosa,Guarai,TO,Brazil,-8.6169,-48.3202,220
Adenomera saci,MZUSP 127317,, ,Ipueiras,TO,Brazil,-11.1356,-48.4038,289
Adenomera saci,CHUNB 58135,, ,Lagoa da Confusao,TO,Brazil,-11.0356,-50.16,201
Adenomera saci,,,,Lagoa da Confusão,TO,Brazil,-10.88,-49.74,227
Adenomera saci,CHUNB 41764,,"37,2km W Mateiros Rio Novo",Mateiros,TO,Brazil,-10.7022,-46.7728,457
Adenomera saci,MZUSP 72584,,Serra da Mesa (Ponto 4),Minacu,GO,Brazil,-13.4983,-48.3484,465
Adenomera saci,ZUFG 3124,,BE6,Mineiros,GO,Brazil,-17.6134,-52.7643,824
Adenomera saci,CHUNB 57787,,Novo Santo Antonio, ,,Brazil,-12.3156,-50.8885,208
Adenomera saci,CHUNB 24407,,Palmas, ,,Brazil,-10.1891,-48.1085,539
Adenomera saci,Lit 1341,,Palmas,area de influencia da UHE Luis Eduardo Magalhaes,,Brazil,-10.2181,-48.1532,461
Adenomera saci,CHUNB 47732,,Porto Nacional,area projeto de Irrigacao Sao Joao; area E,,Brazil,-10.5485,-48.484,199
Adenomera saci,MZUSP 25285,,Santa Terezinha,Barra do Tapirapes,,Brazil,-10.3319,-50.792,229
Adenomera saci,Lit 2612,,Peixe,Campo umido,,Brazil,-12.2605,-48.4105,259
Adenomera saci,Lit 2611,,Peixe,Cerrado,,Brazil,-12.288,-48.4155,263
Adenomera saci,PHV 2421,,Nova Nazare,Estrada para rio das Mortes,,Brazil,-13.9497,-51.9184,457
Adenomera saci,,,Codemim,Niquelândia,,Brazil,-14.15,-48.39,487
Adenomera saci,,,,PE do Mirador,,Brazil,-6.7911,-45.4736,391
Adenomera saci,,,,Pq Nac das Emas,,Brazil,-18.22,-52.84,779
Adenomera saci,Lit 3075,,UHE Luis Eduardo Magalhaes,Porto Nacional,TO,Brazil,-10.45,-48.4,216
Adenomera saci,Lit 3076,,UHE Luis Eduardo Magalhaes,Porto Nacional,TO,Brazil,-10.1166,-48.4166,166
Adenomera saci,Lit 3077,,UHE Luis Eduardo Magalhaes,Porto Nacional,TO,Brazil,-10.0833,-48.45,185
Adenomera saci,,,Posse,,,Brazil,-14.2,-46.31,787
Adenomera saci,,,Ribeirão Cascalheira,,,Brazil,-12.8,-51.68,310
Akodon kadiweu,MZUSP APC975/985/996/997,holotype,Bodoquena,Fazenda Califórnia,,Brazil,-20.7,-56.8667,580
Akodon lindberghi,CMUFLA,,,"Chapada das Perdizes, Minduri/Carrancas",,Brazil,-21.5833,-44.5667,1358
Akodon lindberghi,LBCE - cariótipo e molecular,,Valença,Conservatória,,Brazil,-22.2943,-43.9326,599
Akodon lindberghi,MZUSP,,,Juiz de Fora,,Brazil,-21.6833,-43.45,716
Akodon lindberghi,MZUSP,,,Parque Nacional da Serra da Canastra,,Brazil,-20.35,-46.4833,912
Akodon lindberghi,MN 33501,"holotype, UNB 1003, FMNH 128293/94/95/96/97/98, MN 34284",20 km NW Brasília,Parque Nacional de Brasília,,Brazil,-15.6667,-48,1136
Akodon lindberghi,MZUSP,,Poços de Caldas,Poços de Caldas,,Brazil,-21.7833,-46.5667,1561
Akodon lindberghi,MN 48026,,Simão Pereira,Sítio Maglândia,,Brazil,-21.9636,-43.3119,610
Akodon lindberghi,LBCE - cariótipo e molecular,,,Teresópolis,,Brazil,-22.4171,-43.0225,1457
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Agua Amarela, Anapolis",GO,Brazil,-16.3333,-48.9667,916
Alectrurus tricolor,"Esteves-Lopes, 2005",,Fazenda Experimental santa Barbara do Rio Pardo,Aguas de santa Barbara,SP,Brazil,-22.8833,-49.25,599
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Alto Paraíso de Goiás/GO,GO,Brazil,-14.1335,-47.5104,1156
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"APA de Cafuringa, Brazlandia e Sobradinho",DF,Brazil,-15.5333,-48.0667,1095
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Aquidauana/MS,MS,Brazil,-20.4715,-55.7875,177
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Baependi,MG,Brazil,-21.95,-45.8833,915
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Bom Jardim de Minas/MG,MG,Brazil,-21.9475,-44.1914,1150
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Bonito/MS,MS,Brazil,-21.1215,-56.4825,300
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Brasília/DF,DF,Brazil,-15.7805,-47.9304,1092
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Buri, Aracacu",SP,Brazil,-23.7167,-48.5167,624
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Chapada dos Guimaraes,MT,Brazil,-15.4167,-55.8,757
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Chapadão do Céu/GO,GO,Brazil,-18.4085,-52.5494,688
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Corrego Escaramuça, Taquarivai",SP,Brazil,-23.8833,-48.7667,690
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Costa Rica/MS,MS,Brazil,-18.5445,-53.1295,613
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Cumbica, Guarulhos",SP,Brazil,-22.6,-46.4833,950
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Entre rio São Francisco e Indaia (Dores de Indaia),MG,Brazil,-19.5,-50.5,510
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estação Ecologica de Aguas Emendadas, Planaltina",DF,Brazil,-15.5333,-47.6167,1049
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estação Ecologica de Santa Barbara, Aguas de Santa Barbara",SP,Brazil,-22.8,-49.2167,615
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estação Ressaca, santo Antonio de Posse",SP,Brazil,-22.6,-46.95,679
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estrada do Paraona, Brasília",DF,Brazil,-15.7833,-47.9167,1087
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Agua Limpa, Brasília",DF,Brazil,-15.95,-47.9333,1112
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Barra Mansa, Rio Brilhante",MS,Brazil,-21.4667,-54.9667,382
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Campo Grande, Itapetininga",SP,Brazil,-23.6333,-47.9667,688
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Capao Bonita, Vacaria",MS,Brazil,-21.2833,-54.8167,327
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Fazenda Carrapatos,MS,Brazil,-21.5333,-54.9833,364
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Cocal, Uberaba",MG,Brazil,-19.4333,-48,906
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda do Sr. G.C. Fonseca, Lima Duarte, Campo das Vertentes",MG,Brazil,-21.7167,-44,1200
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Rio Negro, Pantanal de Nhecolandia",MS,Brazil,-19.5,-56.2167,89
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Santa Maria da Fabrica, São Carlos",SP,Brazil,-22.1667,-47.9167,851
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda São Miguel, Unai",MG,Brazil,-15.8333,-46.5,702
Alectrurus tricolor,"Esteves-Lopes, 2005",,,França,SP,Brazil,-20.5333,-47.4,921
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Ibiraci/MG,MG,Brazil,-20.4625,-47.1224,1100
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Ilha do Rio Paraná, Umuarama e Altonia",PR,Brazil,-24.05,-54.2,220
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Indianópolis/MG,MG,Brazil,-19.0395,-47.9174,819
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Ipanema,SP,Brazil,-23.4333,-47.6,596
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Ipiranga, São Paulo",SP,Brazil,-23.5333,-46.6167,636
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Itarare,SP,Brazil,-24.1167,-49.3333,769
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Itatinga,SP,Brazil,-23.1,-48.6167,814
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Itirapina/SP,SP,Brazil,-22.2535,-47.8234,898
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Jaguariaiva,PR,Brazil,-24.25,-49.7,786
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Lagoa Santa,MG,Brazil,-19.6333,-43.8833,940
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Lhanozo,MG,Brazil,-19.8333,-47.95,668
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Medeiros/MG,MG,Brazil,-19.9965,-46.2264,914
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Mineiros/GO,GO,Brazil,-17.5695,-52.5514,674
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Miranda,MS,Brazil,-20.2333,-56.3667,157
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Mogi-Mirim,SP,Brazil,-22.4333,-46.9667,669
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Nova Lima,MG,Brazil,-19.9667,-43.85,858
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Olho D'Agua, Rio Roncador",GO,Brazil,-16.9167,-50.7833,607
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Onça de Pitangui,MG,Brazil,-19.7167,-44.8,787
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Palma, Rio Amas",TO,Brazil,-12.6167,-47.8667,279
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional Chapada dos Veadeiros,GO,Brazil,-14.1167,-47.5167,1123
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional das Emas,GO,Brazil,-18,-52.75,742
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Parque Nacional de Brasília, PARNA Brasília",DF,Brazil,-15.7167,-47.95,1077
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional de Ilha Grande,PR,Brazil,-23.6667,-54,221
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Patrocínio/MG,MG,Brazil,-18.9445,-46.9934,1003
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Pederneiras,SP,Brazil,-22.35,-48.7667,474
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Piracicaba,SP,Brazil,-22.7167,-47.6167,554
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Planaltina,DF,Brazil,-15.6167,-47.6667,1027
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Reserva Ecologica do IBGE, Brasília",DF,Brazil,-15.9333,-47.8833,1099
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Ribeirao Picarrao, Fazenda Monte Carmelo, Estrela do Sul",MG,Brazil,-18.8,-47.8833,935
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Rio Itaqueri, São Carlos",SP,Brazil,-22.25,-47.8667,915
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Sacramento/MG,MG,Brazil,-19.8655,-47.4404,893
Alectrurus tricolor,"Esteves-Lopes, 2005",,,São Romao,MG,Brazil,-16.3667,-45.0667,494
Alectrurus tricolor,"Esteves-Lopes, 2005",,,São Roque de Minas/MG,MG,Brazil,-20.2455,-46.3664,901
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Serra da Canastra, São roque de Minas",MG,Brazil,-20.25,-46.6167,929
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Sete Lagoas,MG,Brazil,-19.45,-44.2333,887
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Taguatinga,DF,Brazil,-15.8167,-48.05,1211
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Terenos/MS,MS,Brazil,-20.4425,-54.8605,466
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Uberaba,MG,Brazil,-19.75,-47.9167,752
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Uberaba/MG,MG,Brazil,-19.7485,-47.9324,750
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Usina Hidroeletrica de Queimado, Unai",MG,Brazil,-16.2,-47.2833,879
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Vargem Comprida,MG,Brazil,-19.2,-43.95,785
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Vila Vitoriana, Botucatu",SP,Brazil,-22.7833,-48.4,542
Alectrurus tricolor,"Esteves-Lopes, 2005",,7 Km E Ixianas,La Paz,,Bolivia,-13.7667,-68.05,336
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Cerro Amambay, 40 Km WSW of Capita_ Bado",,Paraguay,-23.35,-55.9167,287
Alectrurus tricolor,"Esteves-Lopes, 2005",,"San Rafael national Park, San Pedro Mi",Takuapi,,Paraguay,-26.4167,-55.6667,195
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional Serrania San Luis,Concepción,Paraguay,-22.6667,-57.35,200
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Zanja Moroti, Rio Apa",Concepción,Paraguay,-22.5,-57,247
Alectrurus tricolor,"Esteves-Lopes, 2005",,Parque Nacional Mburucuya,,Corrientes,Argentina,-28,-58.0833,56
Alectrurus tricolor,"Esteves-Lopes, 2005",,,,Corrientes,Argentina,-27.4667,-58.8333,52
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"10 km SW San Borja, road to Yacuma",El Beni,Bolivia,-14.8833,-66.85,272
Alectrurus tricolor,"Esteves-Lopes, 2005",,,20 – 30 km E of San Borja,El Beni,Bolivia,-14.75,-66.5,219
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Estación Biológica El Beni ( Laguna Normandía),El Beni,Bolivia,-14.8667,-66.3167,229
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Provincia Moxos,El Beni,Bolivia,-15.1667,-65.5,252
Alectrurus tricolor,"Esteves-Lopes, 2005",,,15 Km E of Rosario,San Pedro,Paraguay,-24.45,-56.9833,119
Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Establecimiento Laguna Blanca, San Pedro, Paraguay",San Pedro,Paraguay,-23.8167,-56.3,212
Alectrurus tricolor,"Esteves-Lopes, 2005",,,Nueva Germania,San Pedro,Paraguay,-23.9,-56.5667,95
