species,elevation
Adenomera cotuba*,161
Adenomera cotuba*,387
Adenomera cotuba*,387
Adenomera cotuba*,790
Adenomera cotuba*,465
Adenomera cotuba*,444
Adenomera cotuba*,277
Adenomera cotuba*,648
Adenomera cotuba*,902
Adenomera cotuba*,610
Adenomera saci,468
Adenomera saci,629
Adenomera saci,657
Adenomera saci,746
Adenomera saci,1110
Adenomera saci,1018
Adenomera saci,277
Adenomera saci,296
Adenomera saci,457
Adenomera saci,1219
Adenomera saci,209
Adenomera saci,584
Adenomera saci,292
Adenomera saci,611
Adenomera saci,217
Adenomera saci,916
Adenomera saci,280
Adenomera saci,305
Adenomera saci,209
Adenomera saci,223
Adenomera saci,220
Adenomera saci,289
Adenomera saci,201
Adenomera saci,227
Adenomera saci,457
Adenomera saci,465
Adenomera saci,824
Adenomera saci,208
Adenomera saci,539
Adenomera saci,461
Adenomera saci,199
Adenomera saci,229
Adenomera saci,259
Adenomera saci,263
Adenomera saci,457
Adenomera saci,487
Adenomera saci,391
Adenomera saci,779
Adenomera saci,216
Adenomera saci,166
Adenomera saci,185
Adenomera saci,787
Adenomera saci,310
Akodon kadiweu,580
Akodon lindberghi,1358
Akodon lindberghi,599
Akodon lindberghi,716
Akodon lindberghi,912
Akodon lindberghi,1136
Akodon lindberghi,1561
Akodon lindberghi,610
Akodon lindberghi,1457
Alectrurus tricolor,916
Alectrurus tricolor,599
Alectrurus tricolor,1156
Alectrurus tricolor,1095
Alectrurus tricolor,177
Alectrurus tricolor,915
Alectrurus tricolor,1150
Alectrurus tricolor,300
Alectrurus tricolor,1092
Alectrurus tricolor,624
Alectrurus tricolor,757
Alectrurus tricolor,688
Alectrurus tricolor,690
Alectrurus tricolor,613
Alectrurus tricolor,950
Alectrurus tricolor,510
Alectrurus tricolor,1049
Alectrurus tricolor,615
Alectrurus tricolor,679
Alectrurus tricolor,1087
Alectrurus tricolor,1112
Alectrurus tricolor,382
Alectrurus tricolor,688
Alectrurus tricolor,327
Alectrurus tricolor,364
Alectrurus tricolor,906
Alectrurus tricolor,1200
Alectrurus tricolor,89
Alectrurus tricolor,851
Alectrurus tricolor,702
Alectrurus tricolor,921
Alectrurus tricolor,1100
Alectrurus tricolor,220
Alectrurus tricolor,819
Alectrurus tricolor,596
Alectrurus tricolor,636
Alectrurus tricolor,769
Alectrurus tricolor,814
Alectrurus tricolor,898
Alectrurus tricolor,786
Alectrurus tricolor,940
Alectrurus tricolor,668
Alectrurus tricolor,914
Alectrurus tricolor,674
Alectrurus tricolor,157
Alectrurus tricolor,669
Alectrurus tricolor,858
Alectrurus tricolor,607
Alectrurus tricolor,787
Alectrurus tricolor,279
Alectrurus tricolor,1123
Alectrurus tricolor,742
Alectrurus tricolor,1077
Alectrurus tricolor,221
Alectrurus tricolor,1003
Alectrurus tricolor,474
Alectrurus tricolor,554
Alectrurus tricolor,1027
Alectrurus tricolor,1099
Alectrurus tricolor,935
Alectrurus tricolor,915
Alectrurus tricolor,893
Alectrurus tricolor,494
Alectrurus tricolor,901
Alectrurus tricolor,929
Alectrurus tricolor,887
Alectrurus tricolor,1211
Alectrurus tricolor,466
Alectrurus tricolor,752
Alectrurus tricolor,750
Alectrurus tricolor,879
Alectrurus tricolor,785
Alectrurus tricolor,542
Alectrurus tricolor,336
Alectrurus tricolor,287
Alectrurus tricolor,195
Alectrurus tricolor,200
Alectrurus tricolor,247
Alectrurus tricolor,56
Alectrurus tricolor,52
Alectrurus tricolor,272
Alectrurus tricolor,219
Alectrurus tricolor,229
Alectrurus tricolor,252
Alectrurus tricolor,119
Alectrurus tricolor,212
Alectrurus tricolor,95
Alectrurus tricolor,270
Alipiopsitta xanthops,1009
Alipiopsitta xanthops,920
Alipiopsitta xanthops,255
Alipiopsitta xanthops,305
Alipiopsitta xanthops,1140
Alipiopsitta xanthops,933
Alipiopsitta xanthops,629
Alipiopsitta xanthops,1156
Alipiopsitta xanthops,277
Alipiopsitta xanthops,458
Alipiopsitta xanthops,917
Alipiopsitta xanthops,305
Alipiopsitta xanthops,1095
Alipiopsitta xanthops,340
Alipiopsitta xanthops,552
Alipiopsitta xanthops,177
Alipiopsitta xanthops,283
Alipiopsitta xanthops,1049
Alipiopsitta xanthops,518
Alipiopsitta xanthops,215
Alipiopsitta xanthops,140
Alipiopsitta xanthops,288
Alipiopsitta xanthops,94
Alipiopsitta xanthops,617
Alipiopsitta xanthops,307
Alipiopsitta xanthops,307
Alipiopsitta xanthops,178
Alipiopsitta xanthops,726
Alipiopsitta xanthops,647
Alipiopsitta xanthops,413
Alipiopsitta xanthops,339
Alipiopsitta xanthops,300
Alipiopsitta xanthops,306
Alipiopsitta xanthops,583
Alipiopsitta xanthops,1092
Alipiopsitta xanthops,283
Alipiopsitta xanthops,599
Alipiopsitta xanthops,519
Alipiopsitta xanthops,490
Alipiopsitta xanthops,706
Alipiopsitta xanthops,758
Alipiopsitta xanthops,914
Alipiopsitta xanthops,602
Alipiopsitta xanthops,999
Alipiopsitta xanthops,687
Alipiopsitta xanthops,182
Alipiopsitta xanthops,805
Alipiopsitta xanthops,876
Alipiopsitta xanthops,901
Alipiopsitta xanthops,304
Alipiopsitta xanthops,498
Alipiopsitta xanthops,740
Alipiopsitta xanthops,1123
Alipiopsitta xanthops,821
Alipiopsitta xanthops,688
Alipiopsitta xanthops,243
Alipiopsitta xanthops,243
Alipiopsitta xanthops,1037
Alipiopsitta xanthops,576
Alipiopsitta xanthops,277
Alipiopsitta xanthops,918
Alipiopsitta xanthops,917
Alipiopsitta xanthops,877
Alipiopsitta xanthops,560
Alipiopsitta xanthops,521
Alipiopsitta xanthops,445
Alipiopsitta xanthops,92
Alipiopsitta xanthops,613
Alipiopsitta xanthops,285
Alipiopsitta xanthops,246
Alipiopsitta xanthops,365
Alipiopsitta xanthops,1210
Alipiopsitta xanthops,198
Alipiopsitta xanthops,613
Alipiopsitta xanthops,659
Alipiopsitta xanthops,706
Alipiopsitta xanthops,544
Alipiopsitta xanthops,306
Alipiopsitta xanthops,617
Alipiopsitta xanthops,636
Alipiopsitta xanthops,359
Alipiopsitta xanthops,843
Alipiopsitta xanthops,1049
Alipiopsitta xanthops,1087
Alipiopsitta xanthops,150
Alipiopsitta xanthops,1112
Alipiopsitta xanthops,121
Alipiopsitta xanthops,557
Alipiopsitta xanthops,286
Alipiopsitta xanthops,193
Alipiopsitta xanthops,308
Alipiopsitta xanthops,79
Alipiopsitta xanthops,96
Alipiopsitta xanthops,86
Alipiopsitta xanthops,702
Alipiopsitta xanthops,305
Alipiopsitta xanthops,305
Alipiopsitta xanthops,435
Alipiopsitta xanthops,921
Alipiopsitta xanthops,765
Alipiopsitta xanthops,303
Alipiopsitta xanthops,916
Alipiopsitta xanthops,892
Alipiopsitta xanthops,609
Alipiopsitta xanthops,920
Alipiopsitta xanthops,325
Alipiopsitta xanthops,797
Alipiopsitta xanthops,229
Alipiopsitta xanthops,919
Alipiopsitta xanthops,564
Alipiopsitta xanthops,912
Alipiopsitta xanthops,1100
Alipiopsitta xanthops,314
Alipiopsitta xanthops,514
Alipiopsitta xanthops,1081
Alipiopsitta xanthops,493
Alipiopsitta xanthops,298
Alipiopsitta xanthops,563
Alipiopsitta xanthops,305
Alipiopsitta xanthops,564
Alipiopsitta xanthops,361
Alipiopsitta xanthops,300
Alipiopsitta xanthops,252
Alipiopsitta xanthops,697
Alipiopsitta xanthops,700
Alipiopsitta xanthops,700
Alipiopsitta xanthops,306
Alipiopsitta xanthops,250
Alipiopsitta xanthops,895
Alipiopsitta xanthops,603
Alipiopsitta xanthops,355
Alipiopsitta xanthops,291
Alipiopsitta xanthops,687
Alipiopsitta xanthops,540
Alipiopsitta xanthops,331
Alipiopsitta xanthops,914
Alipiopsitta xanthops,674
Alipiopsitta xanthops,907
Alipiopsitta xanthops,375
Alipiopsitta xanthops,401
Alipiopsitta xanthops,755
Alipiopsitta xanthops,219
Alipiopsitta xanthops,715
Alipiopsitta xanthops,385
Alipiopsitta xanthops,312
Alipiopsitta xanthops,307
Alipiopsitta xanthops,825
Alipiopsitta xanthops,738
Alipiopsitta xanthops,314
Alipiopsitta xanthops,210
Alipiopsitta xanthops,527
Alipiopsitta xanthops,928
Alipiopsitta xanthops,733
Alipiopsitta xanthops,213
Alipiopsitta xanthops,98
Alipiopsitta xanthops,273
Alipiopsitta xanthops,700
Alipiopsitta xanthops,488
Alipiopsitta xanthops,457
Alipiopsitta xanthops,627
Alipiopsitta xanthops,618
Alipiopsitta xanthops,673
Alipiopsitta xanthops,915
Alipiopsitta xanthops,742
Alipiopsitta xanthops,458
Alipiopsitta xanthops,1077
Alipiopsitta xanthops,759
Alipiopsitta xanthops,895
Alipiopsitta xanthops,1003
Alipiopsitta xanthops,1062
Alipiopsitta xanthops,325
Alipiopsitta xanthops,245
Alipiopsitta xanthops,913
Alipiopsitta xanthops,525
Alipiopsitta xanthops,542
Alipiopsitta xanthops,762
Alipiopsitta xanthops,301
Alipiopsitta xanthops,1074
Alipiopsitta xanthops,297
Alipiopsitta xanthops,534
Alipiopsitta xanthops,564
Alipiopsitta xanthops,199
Alipiopsitta xanthops,207
Alipiopsitta xanthops,272
Alipiopsitta xanthops,914
Alipiopsitta xanthops,356
Alipiopsitta xanthops,1099
Alipiopsitta xanthops,722
Alipiopsitta xanthops,579
Alipiopsitta xanthops,337
Alipiopsitta xanthops,469
Alipiopsitta xanthops,604
Alipiopsitta xanthops,303
Alipiopsitta xanthops,528
Alipiopsitta xanthops,301
Alipiopsitta xanthops,231
Alipiopsitta xanthops,509
Alipiopsitta xanthops,929
Alipiopsitta xanthops,422
Alipiopsitta xanthops,751
Alipiopsitta xanthops,366
Alipiopsitta xanthops,328
Alipiopsitta xanthops,893
Alipiopsitta xanthops,590
Alipiopsitta xanthops,347
Alipiopsitta xanthops,340
Alipiopsitta xanthops,582
Alipiopsitta xanthops,917
Alipiopsitta xanthops,168
Alipiopsitta xanthops,474
Alipiopsitta xanthops,153
Alipiopsitta xanthops,1067
Alipiopsitta xanthops,555
Alipiopsitta xanthops,633
Alipiopsitta xanthops,182
Alipiopsitta xanthops,184
Alipiopsitta xanthops,586
Alipiopsitta xanthops,837
Alipiopsitta xanthops,665
Alipiopsitta xanthops,1040
Alipiopsitta xanthops,305
Alipiopsitta xanthops,507
Alipiopsitta xanthops,319
Alipiopsitta xanthops,101
Alipiopsitta xanthops,494
Alipiopsitta xanthops,901
Alipiopsitta xanthops,306
Alipiopsitta xanthops,299
Alipiopsitta xanthops,193
Alipiopsitta xanthops,1220
Alipiopsitta xanthops,1089
Alipiopsitta xanthops,331
Alipiopsitta xanthops,706
Alipiopsitta xanthops,1194
Alipiopsitta xanthops,466
Alipiopsitta xanthops,863
Alipiopsitta xanthops,323
Alipiopsitta xanthops,321
Alipiopsitta xanthops,314
Alipiopsitta xanthops,610
Alipiopsitta xanthops,750
Alipiopsitta xanthops,690
Alipiopsitta xanthops,610
Alipiopsitta xanthops,586
Alipiopsitta xanthops,503
Alipiopsitta xanthops,266
Alipiopsitta xanthops,526
Alipiopsitta xanthops,613
Alipiopsitta xanthops,141
Alipiopsitta xanthops,916
Alipiopsitta xanthops,159
Allobates brunneus,298
Allobates brunneus,341
Allobates brunneus,409
Allobates brunneus,388
Allobates brunneus,290
Allobates brunneus,290
Allobates brunneus,296
Allobates brunneus,321
Allobates brunneus,301
Allobates goianus,1018
Allobates goianus,456
Allobates goianus,610
Allobates goianus,906
Alopoglossus collii*,243
Alopoglossus collii*,400
Alopoglossus collii*,459
Ameerega berohoka,393
Ameerega berohoka,405
Ameerega berohoka,581
Ameerega berohoka,497
Ameerega berohoka,305
Ameerega berohoka,674
Ameerega berohoka,468
Ameerega berohoka,453
Ameerega berohoka,299
Ameerega berohoka,434
Ameerega berohoka,663
Ameerega braccata,298
Ameerega braccata,762
Ameerega braccata,503
Ameerega braccata,763
Ameerega braccata,299
Ameerega braccata,299
Ameerega braccata,300
Ameerega braccata,236
Ameerega braccata,697
Ameerega braccata,647
Ameerega braccata,717
Ameerega braccata,696
Ameerega flavopicta,908
Ameerega flavopicta,1018
Ameerega flavopicta,761
Ameerega flavopicta,885
Ameerega flavopicta,1000
Ameerega flavopicta,1092
Ameerega flavopicta,745
Ameerega flavopicta,898
Ameerega flavopicta,827
Ameerega flavopicta,805
Ameerega flavopicta,616
Ameerega flavopicta,902
Ameerega flavopicta,695
Ameerega flavopicta,465
Ameerega flavopicta,796
Ameerega flavopicta,394
Ameerega flavopicta,738
Ameerega flavopicta,282
Ameerega flavopicta,279
Ameerega flavopicta,276
Ameerega flavopicta,184
Ameerega flavopicta,609
Ameerega flavopicta,773
Ameerega flavopicta,787
Ameerega flavopicta,611
Ameerega flavopicta,1231
Ameerega flavopicta,933
Ameerega flavopicta,313
Ameerega flavopicta,604
Ameerega picta,309
Ameerega picta,397
Ameerega picta,304
Ameerega picta,397
Ameerega picta,260
Ameerega picta,303
Ameerega picta,353
Ameerega picta,524
Ameerega picta,300
Ameerega picta,204
Ameerega picta,197
Ameiva jacuba,752
Ameiva jacuba,760
Ameiva jacuba,768
Ameiva jacuba,771
Ameiva jacuba,398
Ameiva jacuba,774
Ameiva jacuba,771
Ameiva jacuba,772
Ameiva jacuba,794
Ameiva parecis,484
Ameivula cipoensis*,1307
Ameivula cipoensis*,973
Ameivula cipoensis*,1254
Ameivula cipoensis*,1245
Ameivula cipoensis*,902
Ameivula cipoensis*,906
Ameivula cipoensis*,1093
Ameivula cipoensis*,1254
Ameivula cipoensis*,908
Ameivula cipoensis*,908
Ameivula cipoensis*,1093
Ameivula jalapensis,389
Ameivula jalapensis,357
Ameivula mumbuca,660
Ameivula mumbuca,458
Ameivula xacriaba*,538
Ameivula xacriaba*,750
Ameivula xacriaba*,627
Ameivula xacriaba*,764
Ameivula xacriaba*,609
Ameivula xacriaba*,610
Ameivula xacriaba*,613
Amphisbaena absaberi,146
Amphisbaena acrobeles,380
Amphisbaena anaemariae,918
Amphisbaena anaemariae,913
Amphisbaena anaemariae,1164
Amphisbaena anaemariae,1089
Amphisbaena anaemariae,819
Amphisbaena anaemariae,773
Amphisbaena anaemariae,771
Amphisbaena anaemariae,307
Amphisbaena anaemariae,308
Amphisbaena bedai,371
Amphisbaena bedai,180
Amphisbaena bedai,295
Amphisbaena brevis,400
Amphisbaena carli,880
Amphisbaena carli,852
Amphisbaena carli,777
Amphisbaena carli,700
Amphisbaena crisae,170
Amphisbaena crisae,209
Amphisbaena crisae,771
Amphisbaena crisae,469
Amphisbaena cuiabana,210
Amphisbaena cuiabana,567
Amphisbaena cuiabana,690
Amphisbaena cuiabana,173
Amphisbaena filiformis*,115
Amphisbaena filiformis*,91
Amphisbaena kraoh,610
Amphisbaena kraoh,539
Amphisbaena kraoh,101
Amphisbaena kraoh,549
Amphisbaena leeseri,180
Amphisbaena leeseri,178
Amphisbaena leeseri,92
Amphisbaena leeseri,483
Amphisbaena leeseri,73
Amphisbaena leeseri,295
Amphisbaena leeseri,290
Amphisbaena leeseri,305
Amphisbaena leeseri,228
Amphisbaena maranhensis,184
Amphisbaena mebengokre*,409
Amphisbaena neglecta,750
Amphisbaena persephone*,769
Amphisbaena sanctaeritae,626
Amphisbaena sanctaeritae,623
Amphisbaena saxosa,153
Amphisbaena silvestrii,610
Amphisbaena silvestrii,284
Amphisbaena silvestrii,285
Amphisbaena silvestrii,219
Amphisbaena silvestrii,170
Amphisbaena silvestrii,392
Amphisbaena silvestrii,300
Amphisbaena silvestrii,173
Amphisbaena silvestrii,119
Amphisbaena silvestrii,410
Amphisbaena silvestrii,364
Amphisbaena silvestrii,234
Amphisbaena silvestrii,771
Amphisbaena silvestrii,200
Amphisbaena silvestrii,636
Amphisbaena silvestrii,408
Amphisbaena silvestrii,400
Amphisbaena silvestrii,312
Amphisbaena silvestrii,400
Amphisbaena silvestrii,368
Amphisbaena steindachneri,304
Amphisbaena steindachneri,199
Amphisbaena steindachneri,195
Amphisbaena steindachneri,192
Amphisbaena talisiae,1194
Amphisbaena talisiae,1164
Amphisbaena talisiae,1089
Amphisbaena talisiae,1065
Amphisbaena talisiae,773
Amphisbaena talisiae,427
Amphisbaena talisiae,688
Amphisbaena talisiae,422
Amphisbaena talisiae,482
Anolis meridionalis,614
Anolis meridionalis,375
Anolis meridionalis,631
Anolis meridionalis,288
Anolis meridionalis,170
Anolis meridionalis,304
Anolis meridionalis,609
Anolis meridionalis,500
Anolis meridionalis,1164
Anolis meridionalis,1065
Anolis meridionalis,177
Anolis meridionalis,606
Anolis meridionalis,586
Anolis meridionalis,300
Anolis meridionalis,649
Anolis meridionalis,785
Anolis meridionalis,483
Anolis meridionalis,198
Anolis meridionalis,305
Anolis meridionalis,750
Anolis meridionalis,300
Anolis meridionalis,186
Anolis meridionalis,177
Anolis meridionalis,771
Anolis meridionalis,427
Anolis meridionalis,215
Anolis meridionalis,688
Anolis meridionalis,1024
Anolis meridionalis,244
Anolis meridionalis,769
Anolis meridionalis,457
Anolis meridionalis,363
Anolis meridionalis,636
Anolis meridionalis,572
Anolis meridionalis,403
Anolis meridionalis,610
Anolis meridionalis,687
Anolis meridionalis,400
Anolis meridionalis,601
Anolis meridionalis,154
Anolis meridionalis,203
Anolis meridionalis,155
Anolis meridionalis,197
Anolis meridionalis,368
Anolis meridionalis,489
Anolis meridionalis,284
Anolis meridionalis,434
Anolis meridionalis,343
Antilophia galeata,277
Antilophia galeata,599
Antilophia galeata,611
Antilophia galeata,660
Antilophia galeata,916
Antilophia galeata,1095
Antilophia galeata,1248
Antilophia galeata,920
Antilophia galeata,242
Antilophia galeata,916
Antilophia galeata,582
Antilophia galeata,287
Antilophia galeata,611
Antilophia galeata,311
Antilophia galeata,731
Antilophia galeata,867
Antilophia galeata,897
Antilophia galeata,491
Antilophia galeata,413
Antilophia galeata,614
Antilophia galeata,1016
Antilophia galeata,841
Antilophia galeata,412
Antilophia galeata,706
Antilophia galeata,610
Antilophia galeata,892
Antilophia galeata,541
Antilophia galeata,964
Antilophia galeata,845
Antilophia galeata,304
Antilophia galeata,961
Antilophia galeata,757
Antilophia galeata,357
Antilophia galeata,1123
Antilophia galeata,579
Antilophia galeata,583
Antilophia galeata,597
Antilophia galeata,650
Antilophia galeata,1080
Antilophia galeata,848
Antilophia galeata,888
Antilophia galeata,1219
Antilophia galeata,1067
Antilophia galeata,285
