class,family,genus,species,range,year,New,IUCN
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,Partial,2013,s,NE
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Partial,2013,n,-
Mammals,Cricetidae,Akodon,Akodon kadiweu,Restricted,2021,s,-
Mammals,Cricetidae,Akodon,Akodon lindberghi,Partial,1990,s,DD
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,Partial,1816,s,VU
Aves,Psittacidae ,Alipiopsitta,Alipiopsitta xanthops,Wide,1824,s,NT
Amphibians,Aromobatidae,Allobates,Allobates brunneus,Restricted,1887,n,LC
Amphibians,Aromobatidae,Allobates,Allobates goianus,Restricted,1975,n,DD
Lizards,Alopoglossidae,Alopoglossus,Alopoglossus collii*,Restricted,2020,s,-
Amphibians,Dendrobatoidea,Ameerega,Ameerega berohoka,Partial,2011,n,LC
Amphibians,Dendrobatoidea,Ameerega,Ameerega braccata,Restricted,1864,n,LC
Amphibians,Dendrobatoidea,Ameerega,Ameerega flavopicta,Partial,1925,n,LC
Amphibians,Dendrobatoidea,Ameerega,Ameerega picta,Restricted,1838,n,LC
Lizards,Teiidae,Ameiva,Ameiva jacuba,Restricted,2013,n,-
Lizards,Teiidae,Ameiva,Ameiva parecis,Restricted,2003,n,-
Lizards,Teiidae,Ameivula,Ameivula cipoensis*,Restricted,2014,s,-
Lizards,Teiidae,Ameivula,Ameivula jalapensis,Restricted,2009,n,LC
Lizards,Teiidae,Ameivula,Ameivula mumbuca,Restricted,2003,n,LC
Lizards,Teiidae,Ameivula,Ameivula xacriaba*,Restricted,2014,s,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena absaberi,Restricted,2001,n,DD
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena acrobeles,Restricted,2009,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena anaemariae,Partial,1997,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena bedai,Restricted,1991,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena brevis,Restricted,2009,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena carli,Restricted,2010,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena crisae,Partial,1997,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena cuiabana,Restricted,2001,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena filiformis*,Restricted,2016,s,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena kraoh,Restricted,1971,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena leeseri,Restricted,1964,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena maranhensis,Restricted,2012,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena mebengokre*,Restricted,2019,s,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena neglecta,Restricted,1936,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena persephone*,Restricted,2014,s,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena sanctaeritae,Restricted,1994,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena saxosa,Restricted,2003,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena silvestrii,Partial,1902,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena steindachneri,Restricted,1881,n,-
Lizards,Amphisbaenidae,Amphisbaena,Amphisbaena talisiae,Partial,1995,n,-
Lizards,Dactyloidae,Anolis,Anolis meridionalis,Wide,1885,n,-
Aves,Tyrannidae,Antilophia,Antilophia galeata,Wide,1823,s,LC
Amphibians,Hylidae,Aplastodiscus,Aplastodiscus lutzorum*,Restricted,2017,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis adhara*,Restricted,2018,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis albicollaris,Restricted,2002,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis assimilis*,Partial,1861,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis barrioi*,Partial,1978,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis cerradoensis,Restricted,2003,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis christineae,Restricted,2002,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis flavotorquata,Partial,1854,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis goiasensis,Partial,1942,n,DD
Snakes,Dipsadidae,Apostolepis,Apostolepis intermedia,Partial,1898,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis kikoi*,Restricted,2018,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis lineata,Restricted,1887,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis longicaudata,Restricted,1921,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis nelsonjorgei,Partial,2004,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis phillipsae*,Restricted,1999,s,VU
Snakes,Dipsadidae,Apostolepis,Apostolepis polylepis,Partial,1921,n,DD
Snakes,Dipsadidae,Apostolepis,Apostolepis sanctaeritae*,Partial,2005,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis serrana,Restricted,2006,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis striata,Restricted,2004,n,-
Snakes,Dipsadidae,Apostolepis,Apostolepis tertulianobeui*,Partial,2004,s,-
Snakes,Dipsadidae,Apostolepis,Apostolepis vittata,Restricted,1887,n,-
Aves,Passerellidae,Arremon,Arremon flavirostris,Partial,1838,s,LC
Aves,Furnariidae,Asthenes,Asthenes luizae,Restricted,1990,s,NT
Snakes,Dipsadidae,Atractus,Atractus albuquerquei,Partial,1983,n,LC
Snakes,Dipsadidae,Atractus,Atractus edioi,Restricted,2005,n,-
Snakes,Dipsadidae,Atractus,Atractus pantostictus*,Partial,1993,s,-
Snakes,Dipsadidae,Atractus,Atractus spinalis,Restricted,2013,n,-
Snakes,Dipsadidae,Atractus,Atractus stygius*,Partial,2019,s,-
Aves,Trochilidae,Augastes,Augastes scutatus,Restricted,1824,s,LC
Lizards,Gymnophthalmidae,Bachia,Bachia bresslaui,Partial,1935,n,VU
Lizards,Gymnophthalmidae,Bachia,Bachia cacerensis,Restricted,1998,n,-
Lizards,Gymnophthalmidae,Bachia,Bachia didactyla,Restricted,2011,n,-
Lizards,Gymnophthalmidae,Bachia,Bachia geralista,Restricted,2012,n,-
Lizards,Gymnophthalmidae,Bachia,Bachia micromela,Restricted,2007,n,-
Lizards,Gymnophthalmidae,Bachia,Bachia oxyrhina,Restricted,2008,n,LC
Lizards,Gymnophthalmidae,Bachia,Bachia psamophila,Restricted,2007,n,-
Amphibians,Craugastoridae,Barycholos,Barycholos ternetzi,Partial,1937,n,LC
Amphibians,Hylidae,Boana,Boana botumirim,Restricted,2009,n,-
Amphibians,Hylidae,Boana,Boana buriti,Restricted,1999,n,DD
Amphibians,Hylidae,Boana,Boana caiapo*,Restricted,2018,s,-
Amphibians,Hylidae,Boana,Boana cipoensis,Restricted,1968,n,NT
Amphibians,Hylidae,Boana,Boana ericae,Restricted,2000,n,DD
Amphibians,Hylidae,Boana,Boana goiana,Restricted,1968,n,LC
Amphibians,Hylidae,Boana,Boana jaguariaivensis,Restricted,2010,n,-
Amphibians,Hylidae,Boana,Boana lundii,Partial,1856,n,LC
Amphibians,Hylidae,Boana,Boana stenocephala,Restricted,1999,n,DD
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla alvarengai,Restricted,1956,n,LC
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla ibitiguara,Restricted,1983,n,DD
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla izecksohni*,Restricted,1979,s,CR
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla nanuzae,Restricted,1973,n,LC
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla napolii,Restricted,2012,n,-
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla pseudopseudis,Partial,1937,n,-
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla ravida,Restricted,2001,n,DD
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla sagarana,Restricted,2011,n,NT
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla sapiranga,Restricted,2012,n,-
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla saxicola,Restricted,1964,n,LC
Amphibians,Hylidae,Bokermannohyla,Bokermannohyla sazimai,Restricted,1982,n,DD
Snakes,Viperidae,Bothrops,Bothrops itapetiningae,Partial,1907,n,LC
Snakes,Viperidae,Bothrops,Bothrops marmoratus,Partial,2008,n,-
Snakes,Viperidae,Bothrops,Bothrops moojeni,Wide,1866,n,-
Snakes,Viperidae,Bothrops,Bothrops pauloensis,Partial,1925,n,-
Mammals,Cricetidae,Calassomys,Calassomys apicalis,Restricted,2014,s,-
Mammals,Callithrichidae,Callithrix,Callithrix penicillata,Partial,1812,s,LC
Mammals,Cricetidae,Calomys,Calomys tocantinsi,Partial,2003,s,LC
Mammals,Echimyidae,Carterodon,Carterodon sulcidens,Partial,1838,s,DD
Aves,Picidae,Celeus,Celeus obrieni,Restricted,1973,s,VU
Aves,Thamnophilidae,Cercomacra,Cercomacra ferdinandi,Partial,1928,s,VU
Mammals,Cricetidae,Cerradomys,Cerradomys akroai,Restricted,2014,s,-
Mammals,Cricetidae,Cerradomys,Cerradomys marinhus,Partial,2003,s,LC
Mammals,Cricetidae,Cerradomys,Cerradomys scotti,Wide,2002,s,LC
Aves,Thraupidae,Charitospiza,Charitospiza eucosma,Wide,1905,s,NT
Amphibians,Microhylidae,Chiasmocleis,Chiasmocleis albopunctata,Wide,1885,n,LC
Amphibians,Microhylidae,Chiasmocleis,Chiasmocleis centralis,Partial,1952,n,DD
Snakes,Colubridae,Chironius,Chironius brazili*,Partial,2015,s,-
Aves,Furnariidae,Cinclodes,Cinclodes espinhacensis,Restricted,2012,s,-
Aves,Furnariidae,Clibanornis,Clibanornis rectirostris,Partial,1831,s,LC
Mammals,Echimyidae,Clyomys,Clyomys laticeps,Partial,1909,s,LC
Lizards,Sphaerodactylidae,Coleodactylus,Coleodactylus brachystoma,Partial,1935,n,-
Lizards,Gymnophthalmidae,Colobosaura,Colobosaura modesta,Wide,1862,n,-
Aves,Columbidae,Columbina,Columbina cyanopis,Partial,1870,s,CR
Aves,Thraupidae,Conothraups,Conothraupis mesoleuca,Partial,1939,s,EN
Aves,Thraupidae,Coryphaspiza,Coryphaspiza melanotis,Partial,1822,s,VU
Amphibians,Hylodidae,Crossodactylus,Crossodactylus franciscanus*,Restricted,2015,s,-
Amphibians,Hylodidae,Crossodactylus,Crossodactylus trachystomus,Restricted,1862,n,DD
Mammals,Ctenomyidae,Ctenomys,Ctenomys bicolor,Partial,1914,s,?
Mammals,Ctenomyidae,Ctenomys,Ctenomys nattereri,Partial,1848,s,LC
Aves,Corvidae,Cyanocorax,Cyanocorax cristatellus,Wide,1823,s,LC
Amphibians,Hylidae,Dendropsophus,Dendropsophus anataliasiasi,Partial,1972,n,LC
Amphibians,Hylidae,Dendropsophus,Dendropsophus araguaya,Restricted,1998,n,DD
Amphibians,Hylidae,Dendropsophus,Dendropsophus cerradensis,Restricted,1998,n,DD
Amphibians,Hylidae,Dendropsophus,Dendropsophus cruzi,Partial,1998,n,LC
Amphibians,Hylidae,Dendropsophus,Dendropsophus elianeae,Partial,2000,n,LC
Amphibians,Hylidae,Dendropsophus,Dendropsophus jimi,Partial,1999,n,LC
Amphibians,Hylidae,Dendropsophus,Dendropsophus rhea,Restricted,1999,n,DD
Amphibians,Hylidae,Dendropsophus,Dendropsophus rubicundulus,Partial,1862,n,LC
Amphibians,Hylidae,Dendropsophus,Dendropsophus tritaeniatus,Restricted,1965,n,LC
Snakes,Colubridae,Drymoluber,Drymoluber brazili,Wide,1918,n,-
Amphibians,Microhylidae,Elachistocleis,Elachistocleis bumbameuboi,Restricted,2010,n,DD
Amphibians,Microhylidae,Elachistocleis,Elachistocleis matogrosso,Partial,2010,n,LC
Aves,Thraupidae,Embernagra,Embernagra longicauda,Partial,1844,s,LC
Lizards,Leiosauridae,Enyalius,Enyalius capetinga*,Restricted,2018,s,-
Snakes,Boidae,Epicrates,Epicrates crassus,Wide,1862,n,-
Snakes,Leptotyphlopidae,Epictia,Epictia clinorostris*,Restricted,2010,s,-
Snakes,Dipsadidae,Erythrolamprus,Erythrolamprus maryellenae,Partial,1985,n,-
Lizards,Tropiduridae,Eurolophosaurus,Eurolophosaurus nanuzae,Restricted,1981,n,LC
Mammals,Cricetidae,Euryoryzomys,Euryoryzomys lamia,Restricted,1901,s,VU
Aves,Tyrannidae,Euscarthmus,Euscarthmus rufomarginatus,Wide,1868,s,NT
Mammals,Caviidae,Galea,Galea flavidens,Partial,1835,s,LC
Aves,Scleruridae,Geositta,Geositta poeciloptera,Partial,1830,s,VU
Mammals,Cricetidae,Gyldenstolpia,Gyldenstolpia planaltensis,Restricted,1972,s,-
Lizards,Phyllodactylidae,Gymnodactylus,Gymnodactylus amarali,Partial,1925,n,LC
Lizards,Phyllodactylidae,Gymnodactylus,Gymnodactylus guttulatus,Restricted,1982,n,LC
Snakes,Dipsadidae,Helicops,Helicops boitata*,Restricted,2019,s,-
Snakes,Dipsadidae,Helicops,Helicops gomesi*,Partial,1921,s,-
Snakes,Dipsadidae,Helicops,Helicops phantasma*,Partial,2021,s,-
Aves,Thamnophilidae,Herpsilochmus,Herpsilochmus longirostris,Partial,1868,s,LC
Lizards,Gymnophthalmidae,Heterodactylus,Heterodactylus lundii,Restricted,1862,n,-
Mammals,Cricetidae,Holochilus,Holochilus sciureus,Partial,1842,s,?
Lizards,Hoplocercidae,Hoplocercus,Hoplocercus spinosus,Partial,1843,n,-
Aves,Caprimulgidae,Hydropsalis,Hydropsalis candicans,Partial,1867,s,EN
Mammals,Cricetidae,Hylaeamys,Hylaeamys acritus,Partial,2005,s,?
Amphibians,Hylodidae,Hylodes,Hylodes otavioi,Restricted,1983,n,DD
Amphibians,Brachycephalidae,Ischnocnema,Ischnocnema penaxavantinho,Restricted,2007,n,DD
Mammals,Cricetidae,Juscelinomys,Juscelinomys candango,Restricted,1965,s,EX
Mammals,Cricetidae,Juscelinomys,Juscelinomys huanchacae,Restricted,1999,s,DD
Lizards,Teiidae,Kentropyx,Kentropyx paulensis,Partial,1893,n,-
Lizards,Teiidae,Kentropyx,Kentropyx vanzoi,Partial,1980,n,-
Mammals,Caviidae,Kerodon,Kerodon acrobata,Restricted,1997,s,DD
Aves,Tyrannidae,Knipolegus,Knipolegus franciscanus,Partial,1928,s,LC
Mammals,Cricetidae,Kunsia,Kunsia tomentosus,Partial,1830,s,LC
Aves,Rallidae,Laterallus,Laterallus xenopterus,Partial,1934,s,VU
Lizards,Amphisbaenidae,Leposternon,Leposternon cerradensis,Restricted,2008,n,-
Lizards,Amphisbaenidae,Leposternon,Leposternon maximus,Restricted,2011,n,-
Lizards,Amphisbaenidae,Leposternon,Leposternon mineiro*,Restricted,2018,s,-
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus brevipes*,Partial,1887,s,-
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus camaquara,Restricted,1978,n,DD
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus cunicularius,Restricted,1978,n,LC
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus furnarius,Partial,1978,n,LC
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus kilombo*,Restricted,2020,s,-
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus pustulatus,Partial,1970,n,LC
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus sertanejo,Wide,2007,n,LC
Amphibians,Leptodactylidae,Leptodactylus,Leptodactylus tapiti,Restricted,1978,n,DD
Snakes,Anomalepididae,Liotyphlops,Liotyphlops schubarti,Restricted,1948,n,DD
Snakes,Anomalepididae,Liotyphlops,Liotyphlops taylori*,Restricted,2018,s,-
Mammals,Phyllostomidae,Lonchophylla,Lonchophylla bokermanni,Restricted,1978,s,EN
Mammals,Phyllostomidae,Lonchophylla,Lonchophylla dekeyseri,Partial,1983,s,EN
Mammals,Canidae,Lycalopex,Lycalopex vetulus,Wide,1842,s,VU
Snakes,Dipsadidae,Lygophis,Lygophis paucidens,Partial,1953,n,-
Amphibians,Hylidae,Lysapsus,Lysapsus caraya,Restricted,1964,n,LC
Lizards,Scincidae,Maciola,Manciola guaporicola,Partial,1935,n,-
Aves,Melanopareiidae,Melanopareia,Melanopareia torquata,Wide,1831,s,LC
Lizards,Gymnophthalmidae,Micrablepharus,Micrablepharus atticolus,Partial,1996,n,LC
Mammals,Cricetidae,Microakodontomys,Microakodontomys transitorius,Restricted,1993,s,EN
Snakes,Elapidae,Micrurus,Micrurus brasiliensis,Partial,1967,n,-
Snakes,Elapidae,Micrurus,Micrurus tricolor,Partial,1956,n,-
Mammals,Didelphidae,Monodelphis,Monodelphis kunsi,Partial,1975,s,LC
Mammals,Didelphidae,Monodelphis,Monodelphis sanctaerosae,Restricted,2012,s,?
Aves,Parulidae,Myiothlypis,Myiothlypis leucophrys,Partial,1868,s,LC
Aves,Thraupidae,Neothraupis,Neothraupis fasciata,Wide,1823,s,NT
Aves,Tinamidae,Nothura,Nothura minor,Partial,1825,s,VU
Aves,Caprimulgidae,Nyctiprogne,Nyctiprogne vielliardi,Restricted,1994,s,LC
Aves,Bucconidae,Nystalus,Nystalus striatipectus,Partial,1854,s,-
Amphibians,Odontophrynidae,Odontophrynus,Odontophrynus cultripes,Partial,1862,n,LC
Amphibians,Odontophrynidae,Odontophrynus,Odontophrynus juquinha*,Restricted,2017,s,-
Amphibians,Odontophrynidae,Odontophrynus,Odontophrynus monachus,Restricted,2012,n,-
Mammals,Cricetidae,Oecomys,Oecomys cleberi,Partial,1981,s,DD
Mammals,Cricetidae,Oligoryzomys,Oligoryzomys moojeni,Partial,2005,s,DD
Mammals,Cricetidae,Oligoryzomys,Oligoryzomys rupestris,Partial,2005,s,DD
Amphibians,Craugastoridae,Oreobates,Oreobates antrum*,Restricted,2018,s,-
Amphibians,Craugastoridae,Oreobates,Oreobates heterodactylus,Restricted,1937,n,DD
Amphibians,Craugastoridae,Oreobates,Oreobates remotus,Restricted,2012,n,-
Mammals,Cricetidae,Oxymycterus,Oxymycterus delator,Wide,1903,s,LC
Mammals,Cricetidae,Oxymycterus,Oxymycterus itapeby,Restricted,2019,s,-
Aves,Thraupidae,Paroaria,Paroaria baeri,Partial,1907,s,LC
Aves,Cracidae,Penelope,Penelope ochrogaster,Partial,1870,s,VU
Aves,Trochilidae,Phaethornis,Phaethornis nattereri,Partial,1887,s,LC
Snakes,Dipsadidae,Phalotris,Phalotris cerradensis*,Restricted,2020,s,-
Snakes,Dipsadidae,Phalotris,Phalotris concolor,Restricted,1994,n,-
Snakes,Dipsadidae,Phalotris,Phalotris labiomaculatus,Restricted,2002,n,-
Snakes,Dipsadidae,Phalotris,Phalotris lativittatus,Partial,1994,n,-
Snakes,Dipsadidae,Phalotris,Phalotris matogrossensis,Partial,2005,n,-
Snakes,Dipsadidae,Phalotris,Phalotris mertensi,Partial,1955,n,-
Snakes,Dipsadidae,Phalotris,Phalotris multipunctatus,Partial,1994,n,-
Snakes,Dipsadidae,Phalotris,Phalotris nasutus,Partial,1915,n,-
Amphibians,Phyllomedusidae,Phasmahyla,Phasmahyla jandaia,Restricted,1978,n,LC
Snakes,Dipsadidae,Philodryas,Philodryas livida,Partial,1923,n,VU
Snakes,Dipsadidae,Philodryas,Philodryas mattogrossensis,Partial,1898,n,-
Aves,Tyrannidae,Phyllomyias,Phyllomyias reiseri,Partial,1905,s,LC
Mammals,Echimyidae,Phyllomys,Phyllomys brasiliensis,Restricted,1840,s,EN
Mammals,Echimyidae,Phyllomys,Phyllomys centralis,Restricted,2018,s,-
Aves,Rhynchocyclidae,Phylloscartes,Phylloscartes roquettei,Partial,1928,s,EN
Amphibians,Leptodactylidae,Physalaemus,Physalaemus atim*,Restricted,2015,s,-
Amphibians,Leptodactylidae,Physalaemus,Physalaemus centralis,Wide,1962,n,LC
Amphibians,Leptodactylidae,Physalaemus,Physalaemus claptoni*,Restricted,2020,s,-
Amphibians,Leptodactylidae,Physalaemus,Physalaemus deimaticus,Restricted,1988,n,DD
Amphibians,Leptodactylidae,Physalaemus,Physalaemus evangelistai,Restricted,1967,n,DD
Amphibians,Leptodactylidae,Physalaemus,Physalaemus marmoratus,Partial,1862,n,LC
Amphibians,Leptodactylidae,Physalaemus,Physalaemus nattereri,Wide,1863,n,LC
Amphibians,Phyllomedusidae,Pithecopus,Pithecopus araguaius*,Partial,2017,s,-
Amphibians,Phyllomedusidae,Pithecopus,Pithecopus ayeaye,Partial,1966,n,CR
Amphibians,Phyllomedusidae,Pithecopus,Pithecopus azureus,Partial,1862,n,DD
Amphibians,Phyllomedusidae,Pithecopus,Pithecopus centralis,Partial,1965,n,DD
Amphibians,Phyllomedusidae,Pithecopus,Pithecopus megacephalus,Restricted,1926,n,DD
Amphibians,Phyllomedusidae,Pithecopus,Pithecopus oreades,Partial,2002,n,DD
Lizards,Gymnophthalmidae,Placosoma,Placosoma cipoense,Restricted,1966,n,-
Aves,Tyrannidae,Polystictus,Polystictus superciliaris,Partial,1831,s,LC
Aves,Thraupidae,Poospiza,Poospiza cinerea,Partial,1850,s,LC
Aves,Thraupidae,Porphyrospiza,Porphyrospiza caerulescens,Wide,1830,s,NT
Amphibians,Craugastoridae,Pristimantis,Pristimantis dundeei,Partial,1999,n,DD
Amphibians,Craugastoridae,Pristimantis,Pristimantis moa*,Restricted,2020,s,-
Amphibians,Craugastoridae,Pristimantis,Pristimantis ventrigranulosus,Restricted,2012,n,-
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys bagnoi,Restricted,2013,n,-
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys branti,Partial,2013,n,-
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys carranca,Restricted,2013,n,-
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys cururu,Restricted,1998,n,DD
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys dibernardoi,Partial,2013,n,-
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys goyana,Partial,1937,n,LC
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys huntingtoni,Restricted,2012,n,-
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys moratoi,Partial,1980,n,CR
Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys rotundipalpebra,Restricted,2013,n,-
