species,elevation,sample
Adenomera cotuba*,161,257
Adenomera cotuba*,387,281
Adenomera cotuba*,387,281
Adenomera cotuba*,790,286
Adenomera cotuba*,465,303
Adenomera cotuba*,444,300
Adenomera cotuba*,277,303
Adenomera cotuba*,648,365
Adenomera cotuba*,902,325
Adenomera cotuba*,902,325
Adenomera cotuba*,610,284
Adenomera saci,468,220
Adenomera saci,629,322
Adenomera saci,657,202
Adenomera saci,746,304
Adenomera saci,1110,304
Adenomera saci,1018,304
Adenomera saci,277,242
Adenomera saci,296,277
Adenomera saci,457,222
Adenomera saci,1219,306
Adenomera saci,209,257
Adenomera saci,584,225
Adenomera saci,292,241
Adenomera saci,611,304
Adenomera saci,217,161
Adenomera saci,916,307
Adenomera saci,280,260
Adenomera saci,305,299
Adenomera saci,209,299
Adenomera saci,223,299
Adenomera saci,220,299
Adenomera saci,289,301
Adenomera saci,201,259
Adenomera saci,227,259
Adenomera saci,457,322
Adenomera saci,465,303
Adenomera saci,824,203
Adenomera saci,208,239
Adenomera saci,539,300
Adenomera saci,461,300
Adenomera saci,199,280
Adenomera saci,229,237
Adenomera saci,259,302
Adenomera saci,263,302
Adenomera saci,457,220
Adenomera saci,487,304
Adenomera saci,391,339
Adenomera saci,779,203
Adenomera saci,216,300
Adenomera saci,166,300
Adenomera saci,185,279
Adenomera saci,787,346
Adenomera saci,310,219
Akodon kadiweu,580,122
Akodon lindberghi,1358,375
Akodon lindberghi,599,396
Akodon lindberghi,716,396
Akodon lindberghi,912,331
Akodon lindberghi,1136,306
Akodon lindberghi,1561,333
Alectrurus tricolor,916,285
Alectrurus tricolor,599,292
Alectrurus tricolor,1156,304
Alectrurus tricolor,1095,306
Alectrurus tricolor,177,142
Alectrurus tricolor,1150,396
Alectrurus tricolor,300,122
Alectrurus tricolor,1092,306
Alectrurus tricolor,624,293
Alectrurus tricolor,757,137
Alectrurus tricolor,688,203
Alectrurus tricolor,690,293
Alectrurus tricolor,613,204
Alectrurus tricolor,950,334
Alectrurus tricolor,510,246
Alectrurus tricolor,1049,306
Alectrurus tricolor,615,292
Alectrurus tricolor,679,334
Alectrurus tricolor,1087,306
Alectrurus tricolor,1112,306
Alectrurus tricolor,382,164
Alectrurus tricolor,688,314
Alectrurus tricolor,327,164
Alectrurus tricolor,364,165
Alectrurus tricolor,906,309
Alectrurus tricolor,1200,396
Alectrurus tricolor,851,312
Alectrurus tricolor,702,327
Alectrurus tricolor,921,332
Alectrurus tricolor,1100,331
Alectrurus tricolor,819,309
Alectrurus tricolor,596,313
Alectrurus tricolor,769,293
Alectrurus tricolor,814,292
Alectrurus tricolor,898,312
Alectrurus tricolor,786,272
Alectrurus tricolor,940,394
Alectrurus tricolor,668,310
Alectrurus tricolor,914,352
Alectrurus tricolor,674,203
Alectrurus tricolor,157,142
Alectrurus tricolor,669,333
Alectrurus tricolor,858,394
Alectrurus tricolor,607,244
Alectrurus tricolor,787,373
Alectrurus tricolor,279,303
Alectrurus tricolor,1123,304
Alectrurus tricolor,742,203
Alectrurus tricolor,1077,306
Alectrurus tricolor,1003,330
Alectrurus tricolor,474,291
Alectrurus tricolor,554,313
Alectrurus tricolor,1027,306
Alectrurus tricolor,1099,306
Alectrurus tricolor,935,309
Alectrurus tricolor,915,312
Alectrurus tricolor,893,331
Alectrurus tricolor,494,369
Alectrurus tricolor,901,352
Alectrurus tricolor,929,331
Alectrurus tricolor,887,393
Alectrurus tricolor,1211,306
Alectrurus tricolor,466,163
Alectrurus tricolor,752,310
Alectrurus tricolor,750,310
Alectrurus tricolor,879,327
Alectrurus tricolor,785,393
Alectrurus tricolor,542,313
Alectrurus tricolor,287,145
Alectrurus tricolor,200,124
Alectrurus tricolor,247,123
Alectrurus tricolor,212,146
Alipiopsitta xanthops,1009,326
Alipiopsitta xanthops,920,285
Alipiopsitta xanthops,920,285
Alipiopsitta xanthops,255,279
Alipiopsitta xanthops,255,279
Alipiopsitta xanthops,305,205
Alipiopsitta xanthops,305,205
Alipiopsitta xanthops,1140,305
Alipiopsitta xanthops,1140,305
Alipiopsitta xanthops,933,285
Alipiopsitta xanthops,629,202
Alipiopsitta xanthops,629,202
Alipiopsitta xanthops,1156,304
Alipiopsitta xanthops,1156,304
Alipiopsitta xanthops,277,341
Alipiopsitta xanthops,458,268
Alipiopsitta xanthops,917,285
Alipiopsitta xanthops,305,186
Alipiopsitta xanthops,305,186
Alipiopsitta xanthops,1095,306
Alipiopsitta xanthops,340,247
Alipiopsitta xanthops,340,247
Alipiopsitta xanthops,552,225
Alipiopsitta xanthops,552,225
Alipiopsitta xanthops,177,142
Alipiopsitta xanthops,177,142
Alipiopsitta xanthops,283,222
Alipiopsitta xanthops,283,222
Alipiopsitta xanthops,1049,331
Alipiopsitta xanthops,1049,331
Alipiopsitta xanthops,518,348
Alipiopsitta xanthops,215,242
Alipiopsitta xanthops,215,242
Alipiopsitta xanthops,140,138
Alipiopsitta xanthops,140,138
Alipiopsitta xanthops,288,222
