$`NNOUT=1`,,,,,,,,,
,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
Noise,175,112,56,28,10,5,4,1,1
BEs,50,52,52,43,31,27,21,13,11
Prop,3.5,2.15,1.08,0.65,0.32,0.19,0.19,0.08,0.09
,,,,,,,,,
$`NNOUT=2`,,,,,,,,,
,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
Noise,233,158,96,52,18,15,12,3,1
BEs,21,29,32,31,27,22,17,12,11
Prop,11.1,5.45,3,1.68,0.67,0.68,0.71,0.25,0.09
,,,,,,,,,
$`NNOUT=3`,,,,,,,,,
,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
Noise,260,197,114,73,30,24,15,6,4
BEs,12,16,26,24,23,19,16,11,10
Prop,21.67,12.31,4.38,3.04,1.3,1.26,0.94,0.55,0.4
,,,,,,,,,
$`NNOUT=4`,,,,,,,,,
,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
Noise,280,217,142,85,42,32,23,6,4
BEs,7,11,19,21,20,17,14,11,10
Prop,40,19.73,7.47,4.05,2.1,1.88,1.64,0.55,0.4
,,,,,,,,,
$`NNOUT=5`,,,,,,,,,
,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
Noise,290,227,162,95,47,37,28,6,4
BEs,5,9,15,19,19,16,13,11,10
Prop,58,25.22,10.8,5,2.47,2.31,2.15,0.55,0.4
