"species","BEs","range_be","class","family","genus","range","year","New","IUCN","elev_class","BEs_elev_class"
"Adenomera cotuba*",0,"noise","Amphibians","Leptodactylidae","Adenomera","Partial",2013,"s","NE","general","plateau"
"Adenomera saci",26,"partial","Amphibians","Leptodactylidae","Adenomera","Partial",2013,"n","-","depression","depression"
"Akodon kadiweu",19,"restricted","Mammals","Cricetidae","Akodon","Restricted",2021,"s","-","plateau","depression"
"Akodon lindberghi",0,"noise","Mammals","Cricetidae","Akodon","Partial",1990,"s","DD","plateau","plateau"
"Alectrurus tricolor",4,"partial","Aves","Tyrannidae","Alectrurus","Partial",1816,"s","VU","general","plateau"
"Alipiopsitta xanthops",2,"wide","Aves","Psittacidae ","Alipiopsitta","Wide",1824,"s","NT","plateau","general"
"Allobates brunneus",6,"restricted","Amphibians","Aromobatidae","Allobates","Restricted",1887,"n","LC","depression","depression"
"Allobates goianus",9,"restricted","Amphibians","Aromobatidae","Allobates","Restricted",1975,"n","DD","plateau","plateau"
"Alopoglossus collii*",27,"restricted","Lizards","Alopoglossidae","Alopoglossus","Restricted",2020,"s","-","depression","depression"
"Ameerega berohoka",0,"noise","Amphibians","Dendrobatoidea","Ameerega","Partial",2011,"n","LC","depression","plateau"
"Ameerega braccata",6,"restricted","Amphibians","Dendrobatoidea","Ameerega","Restricted",1864,"n","LC","general","depression"
"Ameerega flavopicta",0,"noise","Amphibians","Dendrobatoidea","Ameerega","Partial",1925,"n","LC","plateau","plateau"
"Ameerega picta",19,"restricted","Amphibians","Dendrobatoidea","Ameerega","Restricted",1838,"n","LC","depression","depression"
"Ameiva jacuba",12,"restricted","Lizards","Teiidae","Ameiva","Restricted",2013,"n","-","plateau","plateau"
"Ameiva parecis",25,"restricted","Lizards","Teiidae","Ameiva","Restricted",2003,"n","-","depression","general"
"Ameivula cipoensis*",1,"restricted","Lizards","Teiidae","Ameivula","Restricted",2014,"s","-","plateau","plateau"
"Ameivula jalapensis",0,"noise","Lizards","Teiidae","Ameivula","Restricted",2009,"n","LC","depression","plateau"
"Ameivula mumbuca",0,"noise","Lizards","Teiidae","Ameivula","Restricted",2003,"n","LC","plateau","plateau"
"Ameivula xacriaba*",16,"restricted","Lizards","Teiidae","Ameivula","Restricted",2014,"s","-","plateau","plateau"
