"class","family","genus","species","range","year","New","IUCN","elev_class"
"Amphibians","Leptodactylidae","Adenomera","Adenomera cotuba*","Partial",2013,"s","NE","general"
"Amphibians","Leptodactylidae","Adenomera","Adenomera saci","Partial",2013,"n","-","depression"
"Mammals","Cricetidae","Akodon","Akodon kadiweu","Restricted",2021,"s","-","plateau"
"Mammals","Cricetidae","Akodon","Akodon lindberghi","Partial",1990,"s","DD","plateau"
"Aves","Tyrannidae","Alectrurus","Alectrurus tricolor","Partial",1816,"s","VU","general"
"Aves","Psittacidae ","Alipiopsitta","Alipiopsitta xanthops","Wide",1824,"s","NT","depression"
"Amphibians","Aromobatidae","Allobates","Allobates brunneus","Restricted",1887,"n","LC","depression"
"Amphibians","Aromobatidae","Allobates","Allobates goianus","Restricted",1975,"n","DD","plateau"
"Lizards","Alopoglossidae","Alopoglossus","Alopoglossus collii*","Restricted",2020,"s","-","depression"
"Amphibians","Dendrobatoidea","Ameerega","Ameerega berohoka","Partial",2011,"n","LC","general"
"Amphibians","Dendrobatoidea","Ameerega","Ameerega braccata","Restricted",1864,"n","LC","general"
"Amphibians","Dendrobatoidea","Ameerega","Ameerega flavopicta","Partial",1925,"n","LC","plateau"
"Amphibians","Dendrobatoidea","Ameerega","Ameerega picta","Restricted",1838,"n","LC","depression"
"Lizards","Teiidae","Ameiva","Ameiva jacuba","Restricted",2013,"n","-","plateau"
"Lizards","Teiidae","Ameiva","Ameiva parecis","Restricted",2003,"n","-","depression"
"Lizards","Teiidae","Ameivula","Ameivula cipoensis*","Restricted",2014,"s","-","plateau"
"Lizards","Teiidae","Ameivula","Ameivula jalapensis","Restricted",2009,"n","LC","depression"
"Lizards","Teiidae","Ameivula","Ameivula mumbuca","Restricted",2003,"n","LC","plateau"
"Lizards","Teiidae","Ameivula","Ameivula xacriaba*","Restricted",2014,"s","-","plateau"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena absaberi","Restricted",2001,"n","DD","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena acrobeles","Restricted",2009,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena anaemariae","Partial",1997,"n","-","plateau"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena bedai","Restricted",1991,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena brevis","Restricted",2009,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena carli","Restricted",2010,"n","-","plateau"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena crisae","Partial",1997,"n","-","general"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena cuiabana","Restricted",2001,"n","-","general"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena filiformis*","Restricted",2016,"s","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena kraoh","Restricted",1971,"n","-","general"
