binomial,BEs
Adenomera cotuba*,0
Akodon lindberghi,0
Ameerega flavopicta,0
Ameiva parecis,0
Amphisbaena anaemariae,0
Amphisbaena crisae,0
Amphisbaena maranhensis,0
Amphisbaena mebengokre*,0
Amphisbaena sanctaeritae,0
Amphisbaena silvestrii,0
Amphisbaena steindachneri,0
Apostolepis barrioi*,0
Apostolepis flavotorquata,0
Apostolepis goiasensis,0
Apostolepis intermedia,0
Apostolepis longicaudata,0
Apostolepis polylepis,0
Apostolepis serrana,0
Apostolepis striata,0
Apostolepis tertulianobeui*,0
Apostolepis vittata,0
Atractus albuquerquei,0
Atractus pantostictus*,0
Bachia bresslaui,0
Bachia cacerensis,0
Bachia didactyla,0
Barycholos ternetzi,0
Boana botumirim,0
Boana jaguariaivensis,0
Bokermannohyla izecksohni,0
Bokermannohyla ravida,0
Bothrops marmoratus,0
Carterodon sulcidens,0
Cerradomys akroai,0
Cerradomys marinhus,0
Chiasmocleis centralis,0
Clyomys laticeps,0
Coleodactylus brachystoma,0
Columbina cyanopis,0
Conothraupis mesoleuca,0
Ctenomys bicolor,0
Dendropsophus cerradensis,0
Dendropsophus cruzi,0
Dendropsophus rhea,0
Dendropsophus tritaeniatus,0
Epictia clinorostris*,0
Euscarthmus rufomarginatus,0
Galea flavidens,0
Gyldenstolpia planaltensis,0
Helicops phantasma*,0
Heterodactylus lundii,0
Holochilus sciureus,0
Hoplocercus spinosus,0
Hydropsalis candicans,0
Kentropyx paulensis,0
Kentropyx vanzoi,0
Kerodon acrobata,0
Kunsia tomentosus,0
Laterallus xenopterus,0
Leposternon cerradensis,0
Leposternon mineiro*,0
Leptodactylus brevipes*,0
Leptodactylus cunicularius,0
Leptodactylus kilombo*,0
Liotyphlops schubarti,0
Lonchophylla dekeyseri,0
Manciola guaporicola,0
Micrablepharus atticolus,0
Micrurus brasiliensis,0
Nyctiprogne vielliardi,0
Oecomys cleberi,0
Oligoryzomys rupestris,0
Oreobates remotus,0
Oxymycterus delator,0
Oxymycterus itapeby,0
Phaethornis nattereri,0
Phalotris concolor,0
Phalotris multipunctatus,0
Phalotris nasutus,0
Philodryas livida,0
Phyllomyias reiseri,0
Phyllomys centralis,0
Phylloscartes roquettei,0
Pithecopus araguaius*,0
Pithecopus centralis,0
Pristimantis dundeei,0
Proceratophrys carranca,0
Proceratophrys moratoi,0
Pseudopaludicola atragula*,0
Pseudopaludicola coracoralinae*,0
Pseudopaludicola facureae*,0
Pseudopaludicola jazmynmcdonaldae*,0
Pseudopaludicola ternetzi*,0
Pyrrhura pfrimeri,0
Rhinella cerradensis,0
Rhinella veredas,0
Rhipidomys ipukensis,0
Rhipidomys macrurus,0
Salvator duseni,0
Scinax constrictus,0
Scinax haddadorum*,0
Scinax rogerioi,0
Scinax rossaferesae*,0
Stenocercus sinesaccus,0
Syndactyla dimidiata,0
Thalpomys cerradensis,0
Thalpomys lasiotis,0
Thamnodynastes rutilus,0
Thrichomys apereoides,0
Trilepida brasiliensis,0
Trilepida fuliginosa,0
Trilepida koppesi,0
Tupinambis matipu*,0
Xenodon nattereri,0
Ameivula cipoensis*,1
Asthenes luizae,1
Atractus spinalis,1
Augastes scutatus,1
Boana cipoensis,1
Bokermannohyla alvarengai,1
Bokermannohyla nanuzae,1
Bokermannohyla sagarana,1
Bokermannohyla saxicola,1
Calassomys apicalis,1
Cinclodes espinhacensis,1
Crossodactylus trachystomus,1
Embernagra longicauda,1
Eurolophosaurus nanuzae,1
Gymnodactylus guttulatus,1
Hylodes otavioi,1
Leptodactylus camaquara,1
Lonchophylla bokermanni,1
Odontophrynus juquinha*,1
Phasmahyla jandaia,1
Phyllomys brasiliensis,1
Physalaemus claptoni*,1
Physalaemus deimaticus,1
Physalaemus evangelistai,1
Pithecopus megacephalus,1
Placosoma cipoense,1
Polystictus superciliaris,1
Proceratophrys cururu,1
Pseudopaludicola mineira*,1
Rhachisaurus brachylepis,1
Scinax cabralensis,1
