spp_author,Species,BEs
"Adenomera cotuba* Carvalho & Giaretta, 2013b",Adenomera cotuba*,0
"Adenomera saci Carvalho & Giaretta, 2013a",Adenomera saci,0
"Akodon kadiweu Brandão et al., 2021",Akodon kadiweu,0
"Akodon lindberghi Hershkovitz, 1990",Akodon lindberghi,0
"Alectrurus tricolor (Vieillot, 1816)",Alectrurus tricolor,0
"Allobates goianus (Bokermann, 1975)",Allobates goianus,0
"Alopoglossus collii* Ribeiro-Junior et al., 2020",Alopoglossus collii*,0
"Ameerega berohoka Vaz-Silva et al., 2011",Ameerega berohoka,0
"Ameerega flavopicta (Lutz, 1925)",Ameerega flavopicta,0
"Ameerega picta (Tschudi, 1838)",Ameerega picta,0
"Ameivula jalapensis (Colli et al., 2009)",Ameivula jalapensis,0
"Ameivula mumbuca (Colli et al., 2003)",Ameivula mumbuca,0
"Ameivula xacriaba* Arias et al., 2014b ",Ameivula xacriaba*,0
"Amphisbaena acrobeles (Ribeiro et al., 2009)",Amphisbaena acrobeles,0
"Amphisbaena anaemariae Vanzolini, 1997",Amphisbaena anaemariae,0
"Amphisbaena bedai (Vanzolini, 1991)",Amphisbaena bedai,0
"Amphisbaena crisae Vanzolini, 1997",Amphisbaena crisae,0
"Amphisbaena cuiabana (Strüssmann & Carvalho, 2001)",Amphisbaena cuiabana,0
"Amphisbaena filiformis* Ribeiro et al., 2016",Amphisbaena filiformis*,0
"Amphisbaena kraoh (Vanzolini, 1971)",Amphisbaena kraoh,0
"Amphisbaena leeseri Gans, 1964",Amphisbaena leeseri,0
"Amphisbaena maranhensis Gomes & Maciel, 2012",Amphisbaena maranhensis,0
"Amphisbaena mebengokre* Ribeiro et al., 2019",Amphisbaena mebengokre*,0
"Amphisbaena sanctaeritae Vanzolini, 1994",Amphisbaena sanctaeritae,0
"Amphisbaena saxosa (Castro-Mello, 2003)",Amphisbaena saxosa,0
"Amphisbaena silvestrii Boulenger, 1902",Amphisbaena silvestrii,0
"Amphisbaena steindachneri Strauch, 1881",Amphisbaena steindachneri,0
"Amphisbaena talisiae Vanzolini, 1995",Amphisbaena talisiae,0
"Anolis meridionalis Boettger, 1885",Anolis meridionalis,0
"Apostolepis adhara* França et al., 2018",Apostolepis adhara*,0
"Apostolepis albicolaris Lema, 2002",Apostolepis albicollaris,0
Apostolepis barrioi* Lema 1978,Apostolepis barrioi*,0
"Apostolepis flavotorquata (Duméril et al., 1854)",Apostolepis flavotorquata,0
"Apostolepis goiasensis Prado, 1942",Apostolepis goiasensis,0
"Apostolepis intermedia Koslowsky, 1898",Apostolepis intermedia,0
"Apostolepis kikoi* Santos et al., 2018",Apostolepis kikoi*,0
"Apostolepis longicaudata Amaral, 1921",Apostolepis longicaudata,0
"Apostolepis nelsonjorgei Lema & Renner, 2004",Apostolepis nelsonjorgei,0
"Apostolepis phillipsae* Harvey, 1999",Apostolepis phillipsae*,0
"Apostolepis polylepis Amaral, 1921",Apostolepis polylepis,0
"Apostolepis sanctaeritae* Werner, 1924",Apostolepis sanctaeritae*,0
"Apostolepis serrana Lema & Renner, 2006",Apostolepis serrana,0
"Apostolepis tertulianobeui* Lema, 2004",Apostolepis tertulianobeui*,0
"Apostolepis vittata (Cope, 1887)",Apostolepis vittata,0
"Atractus albuquerquei Cunha & Nascimento, 1983",Atractus albuquerquei,0
"Atractus pantostictus* Fernandes and Puorto, 1993",Atractus pantostictus*,0
"Atractus stygius* Passos et al., 2019",Atractus stygius*,0
"Bachia bresslaui (Amaral, 1935)",Bachia bresslaui,0
"Bachia cacerensis Castrillon & Strüssmann, 1998",Bachia cacerensis,0
"Bachia geralista Teixeira et al., 2012",Bachia geralista,0
"Bachia micromela Rodrigues et al., 2007",Bachia micromela,0
"Bachia oxyrhina Rodrigues et al., 2008",Bachia oxyrhina,0
"Bachia psamophila Rodrigues et al., 2007",Bachia psamophila,0
"Barycholos ternetzi (Miranda-Ribeiro, 1937)",Barycholos ternetzi,0
"Boana botumirim Caramaschi et al., 2009",Boana botumirim,0
"Boana buriti (Caramaschi & Cruz, 1999)",Boana buriti,0
"Boana caiapo* Pinheiro et al., 2018",Boana caiapo*,0
