BEs,Total,Anurans,Lizards,Snakes,Birds,Mammals,groups,Area,quadrats,wide,partial,restricted,range_be,alt_class
1,39,21,6,3,5,4,5,280627,24,0,3,36,restricted,
2,17,3,0,2,11,1,4,2706500,229,14,3,0,wide,
3,13,10,1,0,0,2,3,165633,14,0,0,13,restricted,
4,10,1,1,4,4,0,4,1492437,128,0,10,0,partial,
5,8,6,0,2,0,0,2,59753,5,0,1,7,restricted,
6,7,3,2,1,0,1,4,35692,3,0,0,7,restricted,
7,7,2,4,1,0,0,3,35850,3,0,0,7,restricted,
8,6,5,1,0,0,0,2,69341,6,0,0,6,restricted,
9,6,4,0,1,0,1,3,201503,17,0,2,4,restricted,
10,5,1,1,3,0,0,3,59325,5,0,0,5,restricted,
11,5,0,2,0,1,2,3,47647,4,0,2,3,restricted,
12,4,3,1,0,0,0,2,70753,6,0,0,4,restricted,
13,4,2,0,0,2,0,2,829390,71,0,4,0,partial,
14,4,0,0,4,0,0,1,518105,45,0,4,0,partial,
15,4,1,0,0,2,1,3,216523,18,0,3,1,partial,
16,4,1,3,0,0,0,2,131575,11,0,0,4,restricted,
17,3,0,3,0,0,0,1,36374,3,0,0,3,restricted,
18,3,0,2,1,0,0,2,24175,2,0,0,3,restricted,
19,3,2,0,0,0,1,2,114447,10,0,1,2,restricted,
20,3,1,1,1,0,0,3,73125,6,0,0,3,restricted,
21,3,2,0,0,1,0,2,128339,11,0,1,2,restricted,
22,3,1,0,2,0,0,2,535739,45,0,3,0,partial,
23,3,1,0,2,0,0,2,244318,21,0,3,0,partial,
24,3,2,0,0,0,1,2,22447,2,0,0,3,restricted,
25,3,0,2,1,0,0,2,35952,3,0,0,3,restricted,
26,3,2,0,0,1,0,2,589620,49,0,2,1,partial,
27,3,0,2,0,0,1,2,119501,10,0,1,2,restricted,
28,3,3,0,0,0,0,1,433721,36,0,2,1,partial,
29,3,1,2,0,0,0,2,940438,79,1,2,0,partial,
